provider_name,address1,address2,city,county,state_code,zip,national_drug_code,order_label,last_order_date,last_date_delivered,total_courses,courses_available,courses_available_date,geocoded_address,npi
WEKA COVID Treatment Center,1000 E. 36TH AVE.,,Anchorage,Anchorage,AK,99508,0173-0901-86,Sotrovimab,2022-02-23T00:00:00.000,2022-02-25T00:00:00.000,54,,,POINT (-149.863023 61.187999),1396858437.0
ALCAN MEDICAL GROUP,751 OLDRICHARDSON HWY STE 101,,Fairbanks,Fairbanks North Star,AK,99701,0173-0901-86,Sotrovimab,2022-03-07T00:00:00.000,2022-03-03T00:00:00.000,42,,,POINT (-147.688821 64.818862),1134739485.0
FAIRBANKS MEMORIAL HOSPITAL,FMH Pharmacy,1650 Cowles St,Fairbanks,Fairbanks North Star,AK,99701,0173-0901-86,Sotrovimab,2022-03-02T00:00:00.000,2022-03-04T00:00:00.000,48,,,,1447701966.0
BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,Pharmacy,Juneau,Juneau,AK,99801,0173-0901-86,Sotrovimab,2022-02-15T00:00:00.000,2022-02-18T00:00:00.000,12,,,POINT (-134.465047 58.328624),1891849261.0
North Star Health Clinic Pharmacy,201 3RD AVE STE 221 BOX 2088,c/o PHARMACY,Seward,Kenai Peninsula,AK,99664-2088,0173-0901-86,Sotrovimab,2022-02-28T00:00:00.000,2022-03-03T00:00:00.000,6,,,,1649477126.0
THE FAMILY HEALTH CENTER,"561 S DENALI ST, STE E",,Palmer,Matanuska Susitna,AK,99645,0173-0901-86,Sotrovimab,2022-02-16T00:00:00.000,2022-02-22T00:00:00.000,6,,,POINT (-149.107771 61.600277),1053851949.0
ARCTIC SKYE FAMILY MEDICINE,2851 E PALMER WASILLA HIGHWAY #3,,Wasilla,Matanuska Susitna,AK,99654,0173-0901-86,Sotrovimab,2022-02-15T00:00:00.000,2022-02-22T00:00:00.000,6,,,POINT (-149.378359 61.585085),1205035573.0
URGENT CARE AT LAKE LUCILLE,185 East Parks Highway,,Wasilla,Matanuska Susitna,AK,99654,0173-0901-86,Sotrovimab,2022-02-22T00:00:00.000,2022-02-24T00:00:00.000,36,,,POINT (-149.447295 61.580957),1275587768.0
NORTON SOUND HEALTH CORPORATION,1000 GREG KRUSCHEK,C/O PHARMACY,Nome,Nome,AK,99762,0173-0901-86,Sotrovimab,2022-02-21T00:00:00.000,2022-02-25T00:00:00.000,12,,,,1427187046.0
DAHL MEMORIAL CLINIC,350 14TH ST,,Skagway,Skagway Hoonah Angoon,AK,99840,0173-0901-86,Sotrovimab,2022-02-15T00:00:00.000,2022-03-01T00:00:00.000,6,,,POINT (-132.934407 56.819978),1063574200.0
