provider_name,address1,address2,city,county,state_code,zip,national_drug_code,order_label,last_order_date,last_date_delivered,total_courses,courses_available,courses_available_date,geocoded_address,npi
WEKA COVID Treatment Center,1000 E. 36TH AVE.,,Anchorage,Anchorage,AK,99508,0002-7589-01,Bebtelovimab,2022-02-15T00:00:00.000,2022-02-17T00:00:00.000,10,,,POINT (-149.863023 61.187999),1396858437.0
ALCAN MEDICAL GROUP,751 OLDRICHARDSON HWY STE 101,,Fairbanks,Fairbanks North Star,AK,99701,0002-7589-01,Bebtelovimab,2022-03-07T00:00:00.000,2022-03-03T00:00:00.000,30,,,POINT (-147.688821 64.818862),1134739485.0
BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,Pharmacy,Juneau,Juneau,AK,99801,0002-7589-01,Bebtelovimab,2022-02-15T00:00:00.000,2022-02-18T00:00:00.000,30,30.0,2022-03-08T00:00:00.000,POINT (-134.465047 58.328624),1891849261.0
North Star Health Clinic Pharmacy,201 3RD AVE STE 221 BOX 2088,c/o PHARMACY,Seward,Kenai Peninsula,AK,99664-2088,0002-7589-01,Bebtelovimab,2022-02-28T00:00:00.000,2022-03-03T00:00:00.000,5,5.0,2022-03-08T00:00:00.000,,1649477126.0
URGENT CARE AT LAKE LUCILLE,185 East Parks Highway,,Wasilla,Matanuska Susitna,AK,99654,0002-7589-01,Bebtelovimab,2022-02-15T00:00:00.000,2022-02-17T00:00:00.000,25,22.0,2022-03-05T00:00:00.000,POINT (-149.447295 61.580957),1275587768.0
DAHL MEMORIAL CLINIC,350 14TH ST,,Skagway,Skagway Hoonah Angoon,AK,99840,0002-7589-01,Bebtelovimab,2022-02-23T00:00:00.000,2022-03-01T00:00:00.000,5,5.0,2022-03-08T00:00:00.000,POINT (-132.934407 56.819978),1063574200.0
COPPER RIVER NATIVE ASSOC. PHARMACY,MILE 111.5 RICHARDSON HWY,,Glennallen,Valdez Cordova,AK,99588,0002-7589-01,Bebtelovimab,2022-02-17T00:00:00.000,2022-02-24T00:00:00.000,10,,,,1962900100.0
PETERSBURG MEDICAL CENTER HOSPITAL,103 FRAM ST,c/o PHARMACY,Petersburg,Wrangell Petersburg,AK,99833,0002-7589-01,Bebtelovimab,2022-02-15T00:00:00.000,2022-02-17T00:00:00.000,10,,,POINT (-132.955619 56.812483),1972666345.0
YAKUTAT COMMUNITY HEALTH CENTER,115 Airport,,Yakutat,Yakutat,AK,99689,0002-7589-01,Bebtelovimab,2022-03-02T00:00:00.000,,5,5.0,2022-03-07T00:00:00.000,POINT (-139.672296 59.507731),1568468189.0
THOMAS HOSPITAL,750 MORPHY AVE,,Fairhope,Baldwin,AL,36532-1812,0002-7589-01,Bebtelovimab,2022-03-01T00:00:00.000,2022-03-03T00:00:00.000,40,40.0,2022-03-07T00:00:00.000,POINT (-87.889276 30.519992),
