provider_name,address1,address2,city,county,state_code,zip,national_drug_code,order_label,last_order_date,last_date_delivered,total_courses,courses_available,courses_available_date,geocoded_address,npi
BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,Pharmacy,Juneau,Juneau,AK,99801,0310-7442-02,Evusheld,2022-01-27T00:00:00.000,2022-02-02T00:00:00.000,72,51.0,2022-03-07T00:00:00.000,POINT (-134.465047 58.328624),1891849261.0
Southern Cancer Center,29653 ANCHOR CROSS BLVD,,Daphne,Baldwin,AL,36526-9594,0310-7442-02,Evusheld,2021-12-30T00:00:00.000,2022-01-11T00:00:00.000,24,17.0,2022-03-07T00:00:00.000,POINT (-87.866268 30.657051),1942391784.0
THOMAS HOSPITAL,750 MORPHY AVE,,Fairhope,Baldwin,AL,36532-1812,0310-7442-02,Evusheld,2022-02-28T00:00:00.000,2022-03-02T00:00:00.000,24,12.0,2022-03-07T00:00:00.000,POINT (-87.889276 30.519992),
BAILEYTON FAMILY MEDICINE,105 FIRE STATION ROAD,,Baileyton,Cullman,AL,35019,0310-7442-02,Evusheld,2022-03-07T00:00:00.000,2022-03-02T00:00:00.000,72,23.0,2022-03-03T00:00:00.000,POINT (-86.61429 34.26383),1285837377.0
Express Meds (TPB LLC dba Express M,1800 AL Hwy 157,Suite 101,Cullman,Cullman,AL,35058,0310-7442-02,Evusheld,2022-02-23T00:00:00.000,2022-03-01T00:00:00.000,24,24.0,2022-03-07T00:00:00.000,POINT (-86.804032 34.1986),1720377419.0
SPECIALTY PHARMACY,2104 AL Hwy 157,,Cullman,Cullman,AL,35058,0310-7442-02,Evusheld,2022-02-14T00:00:00.000,2022-02-17T00:00:00.000,24,,,POINT (-86.807141 34.198632),1255321295.0
GADSDEN RAPID CARE,1039 FORREST AVENUE,,Gadsden,Etowah,AL,35901,0310-7442-02,Evusheld,2022-02-23T00:00:00.000,2022-02-25T00:00:00.000,24,,,POINT (-86.016673 34.017592),1053367342.0
ALABAMA ONCOLOGY BROOKWOOD,2022 BROOKWOOD MEDICAL CTR DR,STE 628,Birmingham,Jefferson,AL,35209-6889,0310-7442-02,Evusheld,2022-02-01T00:00:00.000,2022-02-08T00:00:00.000,48,35.0,2022-03-07T00:00:00.000,POINT (-86.77556 33.46349),1588774624.0
ALABAMA ONCOLOGY PRINCETON,833 PRINCETON AVE SW STE 105A,,Birmingham,Jefferson,AL,35211-1323,0310-7442-02,Evusheld,2022-02-14T00:00:00.000,2022-02-16T00:00:00.000,48,24.0,2022-03-07T00:00:00.000,POINT (-86.847379 33.499149),
ALABAMA ONCOLOGYST VINCENTS BIRM,2728 10TH AVE S STE 200,,Birmingham,Jefferson,AL,35205-1202,0310-7442-02,Evusheld,2022-03-07T00:00:00.000,2022-02-16T00:00:00.000,72,21.0,2022-03-07T00:00:00.000,POINT (-86.786491 33.508261),1881612612.0
