State Date       Time   Providers Details
AL    2022-01-04 16-56  +1        ['AL,Montgomery,36109,V07 619 Montgomery, Al']
AL    2022-01-11 08-35  +1        ['AL,Birmingham,35211,Cahaba Med Care - West End Office']
AL    2022-01-13 10-07  +29       ['AL,Alabaster,35007,Walmart Pharmacy #423', 'AL,Anniston,36206,Walmart Pharmacy #329', 'AL,Athens,35611,Walmart Pharmacy #661', 'AL,Atmore,36502,Walmart Pharmacy #7247', 'AL,Attalla,35954,Walmart Pharmacy #316', 'AL,Bay Minette,36507,Walmart Pharmacy #2739', 'AL,Birmingham,35206,Walmart Pharmacy #762', 'AL,Birmingham,35233,V07 521 Birmingham, Al', 'AL,Boaz,35957,Walmart Pharmacy #298', 'AL,Center Point,35215,Walmart Pharmacy #5100', 'AL,Dothan,36301,Walmart Pharmacy #2534', 'AL,Dothan,36303,Walmart Pharmacy #604', 'AL,Fairhope,36532,Walmart Pharmacy #4333', 'AL,Florence,35630,Walmart Pharmacy #766', 'AL,Fort Payne,35968,Walmart Pharmacy #691', 'AL,Huntsville,35805,Walmart Pharmacy #5925', 'AL,Jackson,36545,Walmart Pharmacy #2760', 'AL,Mobile,36618,Walmart Pharmacy #4210', 'AL,Montgomery,36117,Walmart Pharmacy #938', 'AL,Northport,35476,Walmart Pharmacy #2306', 'AL,Oneonta,35121,Walmart Pharmacy #315', 'AL,Opelika,36801,Walmart Pharmacy #355', 'AL,Owens Cross Roads,35763,Walmart Pharmacy #5197', 'AL,Prattville,36066,Walmart Pharmacy #483', 'AL,Sumiton,35148,Walmart Pharmacy #2723', 'AL,Sylacauga,35150,Walmart Pharmacy #730', 'AL,Tallassee,36078,Walmart Pharmacy #1057', 'AL,Theodore,36582,Walmart Pharmacy #5744', 'AL,Winfield,35594,Walmart Pharmacy #362']
AL    2022-01-26 07-35  +2        ['AL,Huntsville,35898,Fox Army Health Clinic', 'AL,Tuscaloosa,35404,V07 679 Tuscaloosa, Al']
AL    2022-02-02 09-09  +1        ['AL,Huntsville,35805,V07 521Ga Huntsville (Cboc), Al']
AL    2022-02-02 09-09  -32       ['AL,Alabaster,35007,Walmart Pharmacy #423', 'AL,Andalusia,36420,Walmart Pharmacy #1091', 'AL,Bay Minette,36507,Walmart Pharmacy #2739', 'AL,Bessemer,35022,Walmart Pharmacy #764', 'AL,Birmingham,35206,Walmart Pharmacy #762', 'AL,Center Point,35215,Walmart Pharmacy #5100', 'AL,Cullman,35058,Walmart Pharmacy #7280', 'AL,Demopolis,36732,Walmart Pharmacy #731', 'AL,Fayette,35555,Walmart Pharmacy #1052', 'AL,Florence,35630,Walmart Pharmacy #766', 'AL,Haleyville,35565,Walmart Pharmacy #409', 'AL,Hamilton,35570,Walmart Pharmacy #1100', 'AL,Huntsville,35810,Walmart Pharmacy #433', 'AL,Millbrook,36054,Walmart Pharmacy #4318', 'AL,Mobile,36619,Walmart Pharmacy #866', 'AL,Monroeville,36460,Walmart Pharmacy #1493', 'AL,Montgomery,36116,Walmart Pharmacy #930', 'AL,Montgomery,36117,Walmart Pharmacy #938', 'AL,Moulton,35650,Walmart Pharmacy #394', 'AL,Muscle Shoals,35661,Walmart Pharmacy #660', 'AL,Northport,35476,Walmart Pharmacy #2306', 'AL,Owens Cross Roads,35763,Walmart Pharmacy #5197', 'AL,Prattville,36066,Walmart Pharmacy #483', 'AL,Russellville,35653,Walmart Pharmacy #403', 'AL,Scottsboro,35768,Walmart Pharmacy #712', 'AL,Selma,36703,Walmart Pharmacy #700', 'AL,Springville,35146,Walmart Pharmacy #3386', 'AL,Thomasville,36784,Walmart Pharmacy #1174', 'AL,Troy,36081,Walmart Pharmacy #723', 'AL,Tuscaloosa,35405,Walmart Pharmacy #5256', 'AL,Valley,36854,Walmart Pharmacy #733', 'AL,Winfield,35594,Walmart Pharmacy #362']
AL    2022-02-04 09-14  +27       ['AL,Alabaster,35007,Walmart Pharmacy #423', 'AL,Andalusia,36420,Walmart Pharmacy #1091', 'AL,Bessemer,35022,Walmart Pharmacy #764', 'AL,Birmingham,35206,Walmart Pharmacy #762', 'AL,Center Point,35215,Walmart Pharmacy #5100', 'AL,Cullman,35058,Walmart Pharmacy #7280', 'AL,Fayette,35555,Walmart Pharmacy #1052', 'AL,Florence,35630,Walmart Pharmacy #766', 'AL,Haleyville,35565,Walmart Pharmacy #409', 'AL,Hamilton,35570,Walmart Pharmacy #1100', 'AL,Huntsville,35810,Walmart Pharmacy #433', 'AL,Millbrook,36054,Walmart Pharmacy #4318', 'AL,Mobile,36619,Walmart Pharmacy #866', 'AL,Monroeville,36460,Walmart Pharmacy #1493', 'AL,Montgomery,36116,Walmart Pharmacy #930', 'AL,Montgomery,36117,Walmart Pharmacy #938', 'AL,Moulton,35650,Walmart Pharmacy #394', 'AL,Muscle Shoals,35661,Walmart Pharmacy #660', 'AL,Northport,35476,Walmart Pharmacy #2306', 'AL,Prattville,36066,Walmart Pharmacy #483', 'AL,Scottsboro,35768,Walmart Pharmacy #712', 'AL,Selma,36703,Walmart Pharmacy #700', 'AL,Springville,35146,Walmart Pharmacy #3386', 'AL,Thomasville,36784,Walmart Pharmacy #1174', 'AL,Troy,36081,Walmart Pharmacy #723', 'AL,Tuscaloosa,35405,Walmart Pharmacy #5256', 'AL,Valley,36854,Walmart Pharmacy #733']
AL    2022-02-07 09-54  +4        ['AL,Bay Minette,36507,Walmart Pharmacy #2739', 'AL,Demopolis,36732,Walmart Pharmacy #731', 'AL,Russellville,35653,Walmart Pharmacy #403', 'AL,Winfield,35594,Walmart Pharmacy #362']
AL    2022-02-10 21-04  +2        ['AL,Owens Cross Roads,35763,Walmart Pharmacy #5197', 'AL,Phenix City,36867,Walgreens Store #06483']
AL    2022-02-10 21-04  -5        ['AL,Birmingham,35233,V07 521 Birmingham, Al', 'AL,Huntsville,35805,V07 521Ga Huntsville (Cboc), Al', 'AL,Huntsville,35898,Fox Army Health Clinic', 'AL,Montgomery,36109,V07 619 Montgomery, Al', 'AL,Tuscaloosa,35404,V07 679 Tuscaloosa, Al']
