State Date       Time   Providers Details
AL    2021-12-29 09-02  +1        ['AL,Demopolis,36732,Whitfield Regional Hospital']
AL    2022-01-04 16-56  +3        ['AL,Alexander City,35010,Russell Medical Center', 'AL,Montgomery,36109,V07 619 Montgomery, Al', 'AL,Northport,35473,Senior Care Pharmacy, Inc.']
AL    2022-01-05 18-07  +3        ['AL,Auburn,36830,Allergy, Asthma, And Imm Of East Al', 'AL,Daphne,36526,Southern Cancer Center', 'AL,Huntsville,35801,Crestwood Medical Center']
AL    2022-01-07 08-09  +4        ['AL,Haleyville,35565,Lakeland Community Hospital', 'AL,Hoover,35244,Amber Specialty Pharmacy', 'AL,Montgomery,36106,Montgomery Cancer Center', 'AL,Sylacauga,35150,Coosa Valley Medical Center']
AL    2022-01-11 08-35  +2        ['AL,Birmingham,35233,V07 521 Birmingham, Al', 'AL,Huntsville,35805,Clearview Cancer Institute']
AL    2022-01-13 10-07  +1        ['AL,Huntsville,35801,Huntsville Hospital']
AL    2022-01-21 18-08  +1        ['AL,Birmingham,35215,Parkway Medical Center']
AL    2022-01-25 09-23  -6        ['AL,Birmingham,35215,Parkway Medical Center', 'AL,Birmingham,35233,Childrens Of Alabama', 'AL,Birmingham,35249,Uab Hospital', 'AL,Huntsville,35801,Huntsville Hospital', 'AL,Huntsville,35805,Clearview Cancer Institute', 'AL,Montgomery,36106,Montgomery Cancer Center']
AL    2022-02-04 09-14  +2        ['AL,Birmingham,35209,Alabama Oncology Brookwood', 'AL,Opelika,36801,East Alabama Apothecary, Llc']
AL    2022-02-10 21-04  +1        ['AL,Birmingham,35205,Alabama Oncologyst Vincents Birm']
AL    2022-02-10 21-04  -4        ['AL,Birmingham,35233,V07 521 Birmingham, Al', 'AL,Montgomery,36109,V07 619 Montgomery, Al', 'AL,Opelika,36801,East Alabama Apothecary, Llc', 'AL,Sylacauga,35150,Coosa Valley Medical Center']
AL    2022-02-16 08-11  +1        ['AL,Opelika,36801,East Alabama Medical Center']
AL    2022-02-16 08-23  +3        ['AL,Birmingham,35211,Alabama Oncology Princeton', 'AL,Hoover,35244,Amber Specialty Pharmacy Birmingham', 'AL,Vestavia Hills,35243,Flexcare Infusion Center']
AL    2022-02-16 08-23  -1        ['AL,Hoover,35244,Amber Specialty Pharmacy']
AL    2022-02-16 18-37  +9        ['AL,Baileyton,35019,Baileyton Family Medicine', 'AL,Birmingham,35233,V07 521 Birmingham, Al', 'AL,Chelsea,35043,Chelsea Urgent Care', 'AL,Cullman,35058,Specialty Pharmacy', 'AL,Florence,35633,Hamilton Family Urgent Care', 'AL,Montgomery,36109,V07 619 Montgomery, Al', 'AL,Opelika,36801,East Alabama Apothecary, Llc', 'AL,Reform,35481,Pickens County Primary Care Pc', 'AL,Sylacauga,35150,Coosa Valley Medical Center']
AL    2022-02-16 18-37  -1        ['AL,Vestavia Hills,35243,Flexcare Infusion Center']
AL    2022-02-18 16-04  +5        ['AL,Alabaster,35007,Southern Wellness Llc', 'AL,Birmingham,35243,Continuumrx Of Central Alabama', 'AL,Huntsville,35802,Synergy Wellness', 'AL,Mobile,36608,Gacek Ear And Sinus Center', 'AL,Trussville,35173,Wellness Medical Center']
