provider_name,address1,address2,city,county,state_code,zip,national_drug_code,order_label,courses_available,geocoded_address,npi,last_report_date,provider_status,provider_note
Fairweather,1200 N MULDOON RD SUITE B-2,,Anchorage,Anchorage,AK,99504,00310-7442-02,Evusheld,16.0,POINT (-149.74613 61.22553),1386054344.0,2022-05-23T00:00:00.000,ACTIVE,
BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,Pharmacy,Juneau,Juneau,AK,99801,00310-7442-02,Evusheld,28.0,POINT (-134.47033 58.33024),1891849261.0,2022-05-24T00:00:00.000,ACTIVE,
NINILCHIK COMMUNITY CLINIC,15765 KINGSLEY RD,,Ninilchik,Kenai Peninsula,AK,99639,00310-7442-02,Evusheld,22.0,POINT (-151.66705 60.043236),1609093723.0,2022-05-23T00:00:00.000,ACTIVE,
North Star Health Clinic Pharmacy,201 3RD AVE STE 221 BOX 2088,c/o PHARMACY,Seward,Kenai Peninsula,AK,99664-2088,00310-7442-02,Evusheld,12.0,POINT (-149.44264 60.101315),1649477126.0,2022-05-24T00:00:00.000,ACTIVE,
KODIAK AREA NATIVE ASSOCIATION,3449 E. Rezanof Dr.,C/O Pharmacy,Kodiak,Kodiak Island,AK,99615,00310-7442-02,Evusheld,2.0,POINT (-152.35542 57.81233),1003973041.0,2022-05-23T00:00:00.000,ACTIVE,
URGENT CARE AT LAKE LUCILLE,185 East Parks Highway,,Wasilla,Matanuska Susitna,AK,99654,00310-7442-02,Evusheld,41.0,POINT (-149.44754 61.58138),1275587768.0,2022-05-24T00:00:00.000,ACTIVE,
PETERSBURG MEDICAL CENTER HOSPITAL,103 FRAM ST,c/o PHARMACY,Petersburg,Wrangell Petersburg,AK,99833,00310-7442-02,Evusheld,6.0,POINT (-132.955565 56.812895),1972666345.0,2022-05-24T00:00:00.000,ACTIVE,
NORTH BALDWIN INFIRMARY,1815 Hand Avenue,,Bay Minette,Baldwin,AL,36507,00310-7442-02,Evusheld,0.0,POINT (-87.784465 30.90381),1134164924.0,2022-02-25T00:00:00.000,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
Southern Cancer Center,29653 ANCHOR CROSS BLVD,,Daphne,Baldwin,AL,36526-9594,00310-7442-02,Evusheld,23.0,POINT (-87.86627 30.65662),1942391784.0,2022-05-24T00:00:00.000,ACTIVE,
BIBB MEDICAL CENTER PHARMACY,208 Pierson Avenue,Attn: Pharmacy,Centreville,Bibb,AL,35042,00310-7442-02,Evusheld,24.0,POINT (-87.14732 32.95134),1568558146.0,2022-05-16T00:00:00.000,ACTIVE,
Express Meds (TPB LLC dba Express M,1800 AL Hwy 157,Suite 101,Cullman,Cullman,AL,35058,00310-7442-02,Evusheld,23.0,POINT (-86.802435 34.198633),1720377419.0,2022-05-24T00:00:00.000,ACTIVE,
GADSDEN LUNG CENTER PC,1026 Goodyear Ave,Suite 302,Gadsden,Etowah,AL,35903,00310-7442-02,Evusheld,48.0,POINT (-85.963546 34.007521),1114016920.0,2022-05-23T00:00:00.000,ACTIVE,
ALABAMA ONCOLOGY BROOKWOOD,2022 BROOKWOOD MEDICAL CTR DR,STE 628,Birmingham,Jefferson,AL,35209-6889,00310-7442-02,Evusheld,39.0,POINT (-86.774956 33.463769),1588774624.0,2022-05-13T00:00:00.000,ACTIVE,
Amber Specialty Pharmacy Birmingham,2100 Riverchase Center,Suite 400,Hoover,Jefferson,AL,35244,00310-7442-02,Evusheld,32.0,POINT (-86.787123 33.365691),1518584697.0,2022-05-24T00:00:00.000,ACTIVE,
HAMILTON FAMILY URGENT CARE,3500 CLOVERDALE ROAD,3500 CLOVERDALE ROAD,Florence,Lauderdale,AL,35633,00310-7442-02,Evusheld,18.0,POINT (-87.690695 34.85265),1205484326.0,2022-05-23T00:00:00.000,ACTIVE,
HUNTSVILLE HOSPITAL FEVER AND FLU,101 SIVLEY RD SW,,Huntsville,Madison,AL,35801-4421,00310-7442-02,Evusheld,60.0,POINT (-86.5818 34.72105),1447221056.0,2022-05-24T00:00:00.000,ACTIVE,
SYNERGY WELLNESS,7105 BAILEY CREEK CIR,Suite B,Huntsville,Madison,AL,35802,00310-7442-02,Evusheld,156.0,POINT (-86.537611 34.673515),,2022-05-25T00:00:00.000,ACTIVE,
GACEK EAR AND SINUS CENTER,100 MEMORIAL HOSPITAL DR,SUITE 3C,Mobile,Mobile,AL,36608,00310-7442-02,Evusheld,12.0,POINT (-88.132367 30.68303),1932449451.0,2022-05-24T00:00:00.000,ACTIVE,
