2022-02-16T08-23-53,68114,METHODIST HOSPITAL,02/11/2022 12:00:00 AM,,60,60,02/15/2022 12:00:00 AM
2022-03-16T18-51-35,68114,METHODIST HOSPITAL,NLP,NLP,NLP,56,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,68114,METHODIST HOSPITAL,NLP,NLP,NLP,56,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,68114,METHODIST HOSPITAL,NLP,NLP,NLP,56,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,68114,METHODIST HOSPITAL,NLP,NLP,NLP,56,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,68114,METHODIST HOSPITAL,NLP,NLP,NLP,56,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,68114,METHODIST HOSPITAL,NLP,NLP,NLP,55,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,68114,METHODIST HOSPITAL,NLP,NLP,NLP,55,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,68114,METHODIST HOSPITAL,NLP,NLP,NLP,55,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,68114,METHODIST HOSPITAL,NLP,NLP,NLP,55,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,68114,METHODIST HOSPITAL,NLP,NLP,NLP,55,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,68114,METHODIST HOSPITAL,NLP,NLP,NLP,55,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,68114,METHODIST HOSPITAL,NLP,NLP,NLP,55,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,68114,METHODIST HOSPITAL,NLP,NLP,NLP,53,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,68114,METHODIST HOSPITAL,NLP,NLP,NLP,53,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,68114,METHODIST HOSPITAL,NLP,NLP,NLP,53,03/22/2022 12:00:00 AM
2022-03-25T08-10-53,68114,METHODIST HOSPITAL,NLP,NLP,NLP,53,03/22/2022 12:00:00 AM
2022-03-26T06-57-27,68114,METHODIST HOSPITAL,NLP,NLP,NLP,51,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,68114,METHODIST HOSPITAL,NLP,NLP,NLP,51,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,68114,METHODIST HOSPITAL,NLP,NLP,NLP,51,03/25/2022 12:00:00 AM
