2022-03-08T14-40-56,33144,PDL Pharmacy,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,40,40,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,33144,PDL Pharmacy,NLP,NLP,NLP,40,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,33144,PDL Pharmacy,NLP,NLP,NLP,40,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,33144,PDL Pharmacy,NLP,NLP,NLP,40,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,33144,PDL Pharmacy,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,33144,PDL Pharmacy,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,33144,PDL Pharmacy,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,33144,PDL Pharmacy,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,33144,PDL Pharmacy,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,33144,PDL Pharmacy,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,33144,PDL Pharmacy,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,33144,PDL Pharmacy,NLP,NLP,NLP,40,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,33144,PDL Pharmacy,NLP,NLP,NLP,40,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,33144,PDL Pharmacy,NLP,NLP,NLP,39,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,33144,PDL Pharmacy,NLP,NLP,NLP,39,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,33144,PDL Pharmacy,NLP,NLP,NLP,39,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,33144,PDL Pharmacy,NLP,NLP,NLP,39,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,33144,PDL Pharmacy,NLP,NLP,NLP,39,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,33144,PDL Pharmacy,NLP,NLP,NLP,39,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,33144,PDL Pharmacy,NLP,NLP,NLP,39,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,33144,PDL Pharmacy,NLP,NLP,NLP,39,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,33144,PDL Pharmacy,NLP,NLP,NLP,39,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,33144,PDL Pharmacy,NLP,NLP,NLP,39,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,33144,PDL Pharmacy,NLP,NLP,NLP,39,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,33144,PDL Pharmacy,NLP,NLP,NLP,39,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,33144,PDL Pharmacy,NLP,NLP,NLP,39,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,33144,PDL Pharmacy,NLP,NLP,NLP,39,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,33144,PDL Pharmacy,NLP,NLP,NLP,39,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,33144,PDL Pharmacy,NLP,NLP,NLP,39,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,33144,PDL Pharmacy,NLP,NLP,NLP,39,04/01/2022 12:00:00 AM
2022-04-06T05-45-18,33144,PDL Pharmacy,NLP,NLP,NLP,39,04/01/2022 12:00:00 AM
2022-04-06T05-45-18,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,04/04/2022 12:00:00 AM
2022-04-07T05-34-07,33144,PDL Pharmacy,NLP,NLP,NLP,39,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,33144,PDL Pharmacy,NLP,NLP,NLP,39,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,33144,PDL Pharmacy,NLP,NLP,NLP,39,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,33144,PDL Pharmacy,NLP,NLP,NLP,39,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,33144,PDL Pharmacy,NLP,NLP,NLP,39,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,33144,PDL Pharmacy,NLP,NLP,NLP,39,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,33144,PDL Pharmacy,NLP,NLP,NLP,39,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,04/13/2022 12:00:00 AM
2022-04-13T11-55-39,33144,PDL Pharmacy,NLP,NLP,NLP,39,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,33144,PDL Pharmacy,NLP,NLP,NLP,38,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,33144,PDL Pharmacy,NLP,NLP,NLP,38,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,33144,PDL Pharmacy,NLP,NLP,NLP,78,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,33144,PDL Pharmacy,NLP,NLP,NLP,78,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,33144,PDL Pharmacy,NLP,NLP,NLP,78,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,33144,PDL Pharmacy,NLP,NLP,NLP,77,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,33144,PDL Pharmacy,NLP,NLP,NLP,77,04/18/2022 12:00:00 AM
2022-04-21T05-29-54,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,33144,PDL Pharmacy,NLP,NLP,NLP,77,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,33144,PDL Pharmacy,NLP,NLP,NLP,77,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,33144,PDL Pharmacy,NLP,NLP,NLP,77,04/21/2022 12:00:00 AM
2022-04-24T05-22-24,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,33144,PDL Pharmacy,NLP,NLP,NLP,77,04/21/2022 12:00:00 AM
2022-04-25T05-22-33,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,33144,PDL Pharmacy,NLP,NLP,NLP,77,04/21/2022 12:00:00 AM
2022-04-26T05-20-54,33144,Cano Pharmacy,NLP,NLP,NLP,16,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,33144,PDL Pharmacy,NLP,NLP,NLP,76,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,33144,Cano Pharmacy,NLP,NLP,NLP,16,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,33144,PDL Pharmacy,NLP,NLP,NLP,76,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,04/27/2022 12:00:00 AM
2022-04-28T09-22-45,33144,Cano Pharmacy,NLP,NLP,NLP,16,04/27/2022 12:00:00 AM
2022-04-28T09-22-45,33144,PDL Pharmacy,NLP,NLP,NLP,76,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,33144,Walmart Pharmacy #4140,NLP,NLP,NLP,40,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,33144,Cano Pharmacy,NLP,NLP,NLP,16,04/28/2022 12:00:00 AM
