2022-01-14T15-37-26,76112,THR TEXAS HEALTH RESOURCES MedSuprt,01/12/2022 12:00:00 AM,,20,,
2022-02-07T09-54-34,76112,THR TEXAS HEALTH RESOURCES MedSuprt,01/26/2022 12:00:00 AM,01/27/2022 12:00:00 AM,40,40,01/28/2022 12:00:00 AM
2022-02-09T09-41-46,76112,THR TEXAS HEALTH RESOURCES MedSuprt,01/26/2022 12:00:00 AM,01/27/2022 12:00:00 AM,40,40,01/28/2022 12:00:00 AM
2022-02-10T21-04-53,76112,THR TEXAS HEALTH RESOURCES MedSuprt,02/09/2022 12:00:00 AM,01/27/2022 12:00:00 AM,40,40,01/28/2022 12:00:00 AM
2022-02-14T09-23-55,76112,THR TEXAS HEALTH RESOURCES MedSuprt,02/09/2022 12:00:00 AM,01/27/2022 12:00:00 AM,40,40,01/28/2022 12:00:00 AM
2022-02-15T10-17-36,76112,THR TEXAS HEALTH RESOURCES MedSuprt,02/09/2022 12:00:00 AM,01/27/2022 12:00:00 AM,40,40,01/28/2022 12:00:00 AM
2022-02-16T08-11-48,76112,THR TEXAS HEALTH RESOURCES MedSuprt,02/09/2022 12:00:00 AM,01/27/2022 12:00:00 AM,40,40,01/28/2022 12:00:00 AM
2022-02-16T08-23-53,76112,THR TEXAS HEALTH RESOURCES MedSuprt,02/15/2022 12:00:00 AM,01/27/2022 12:00:00 AM,40,40,01/28/2022 12:00:00 AM
2022-02-16T18-37-01,76112,THR TEXAS HEALTH RESOURCES MedSuprt,01/26/2022 12:00:00 AM,01/27/2022 12:00:00 AM,40,40,01/28/2022 12:00:00 AM
2022-02-18T15-54-16,76112,THR TEXAS HEALTH RESOURCES MedSuprt,01/26/2022 12:00:00 AM,01/27/2022 12:00:00 AM,40,40,01/28/2022 12:00:00 AM
2022-02-18T16-04-21,76112,THR TEXAS HEALTH RESOURCES MedSuprt,01/26/2022 12:00:00 AM,01/27/2022 12:00:00 AM,40,40,01/28/2022 12:00:00 AM
2022-02-22T09-09-37,76112,THR TEXAS HEALTH RESOURCES MedSuprt,01/26/2022 12:00:00 AM,01/27/2022 12:00:00 AM,40,40,01/28/2022 12:00:00 AM
2022-02-24T09-51-18,76112,THR TEXAS HEALTH RESOURCES MedSuprt,01/26/2022 12:00:00 AM,01/27/2022 12:00:00 AM,40,39,02/22/2022 12:00:00 AM
2022-03-03T09-56-49,76112,THR TEXAS HEALTH RESOURCES MedSuprt,02/22/2022 12:00:00 AM,02/25/2022 12:00:00 AM,60,39,02/22/2022 12:00:00 AM
2022-03-03T10-04-44,76112,THR TEXAS HEALTH RESOURCES MedSuprt,02/22/2022 12:00:00 AM,02/25/2022 12:00:00 AM,60,39,02/22/2022 12:00:00 AM
2022-03-08T14-40-56,76112,THR TEXAS HEALTH RESOURCES MedSuprt,02/22/2022 12:00:00 AM,02/25/2022 12:00:00 AM,60,39,02/22/2022 12:00:00 AM
2022-03-16T18-51-35,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,59,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,58,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,58,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,58,03/14/2022 12:00:00 AM
2022-03-18T15-22-50,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,58,03/14/2022 12:00:00 AM
2022-03-19T08-15-59,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,58,03/14/2022 12:00:00 AM
2022-03-19T11-58-02,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,58,03/14/2022 12:00:00 AM
2022-03-20T06-05-37,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,58,03/14/2022 12:00:00 AM
2022-03-21T06-11-50,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,58,03/14/2022 12:00:00 AM
2022-03-21T14-18-38,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,58,03/14/2022 12:00:00 AM
2022-03-21T16-35-27,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,58,03/14/2022 12:00:00 AM
2022-03-28T06-21-17,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,58,03/14/2022 12:00:00 AM
2022-03-29T08-50-48,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,58,03/14/2022 12:00:00 AM
2022-03-30T09-27-07,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,58,03/14/2022 12:00:00 AM
2022-03-30T09-27-07,76112,CVS Store #06817,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,76112,CVS Store #06817,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,58,03/14/2022 12:00:00 AM
2022-03-31T15-09-22,76112,CVS Store #06817,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,58,03/14/2022 12:00:00 AM
2022-04-01T06-54-45,76112,CVS Store #06817,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,58,03/14/2022 12:00:00 AM
2022-04-02T06-05-59,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,58,03/14/2022 12:00:00 AM
2022-04-02T06-05-59,76112,CVS Store #06817,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,58,03/14/2022 12:00:00 AM
2022-04-03T05-51-54,76112,CVS Store #06817,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,76112,CVS Store #06817,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,58,03/14/2022 12:00:00 AM
2022-04-05T05-48-33,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,58,03/14/2022 12:00:00 AM
2022-04-05T05-48-33,76112,CVS Store #06817,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,56,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,76112,CVS Store #06817,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,56,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,76112,CVS Store #06817,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,56,04/05/2022 12:00:00 AM
2022-04-08T05-48-29,76112,CVS Store #06817,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,56,04/05/2022 12:00:00 AM
2022-04-09T05-41-09,76112,CVS Store #06817,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,56,04/05/2022 12:00:00 AM
2022-04-10T09-31-27,76112,CVS Store #06817,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,56,04/05/2022 12:00:00 AM
2022-04-11T07-06-23,76112,CVS Store #06817,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,56,04/05/2022 12:00:00 AM
2022-04-12T07-06-55,76112,CVS Store #06817,NLP,NLP,NLP,20,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,56,04/05/2022 12:00:00 AM
2022-04-13T09-20-57,76112,CVS Store #06817,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,56,04/05/2022 12:00:00 AM
2022-04-13T11-55-39,76112,CVS Store #06817,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,56,04/05/2022 12:00:00 AM
2022-04-14T09-18-06,76112,CVS Store #06817,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,56,04/05/2022 12:00:00 AM
2022-04-15T06-03-51,76112,CVS Store #06817,NLP,NLP,NLP,20,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,56,04/05/2022 12:00:00 AM
2022-04-16T05-33-42,76112,CVS Store #06817,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,56,04/05/2022 12:00:00 AM
2022-04-17T05-32-24,76112,CVS Store #06817,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,56,04/05/2022 12:00:00 AM
2022-04-18T05-31-10,76112,CVS Store #06817,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,56,04/05/2022 12:00:00 AM
2022-04-19T05-39-24,76112,CVS Store #06817,NLP,NLP,NLP,20,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,56,04/05/2022 12:00:00 AM
2022-04-20T05-27-37,76112,CVS Store #06817,NLP,NLP,NLP,20,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,76112,THR TEXAS HEALTH RESOURCES MedSuprt,NLP,NLP,NLP,56,04/05/2022 12:00:00 AM
