2022-03-08T14-40-56,80433,SAFEWAY PHARMACY,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,40,,
2022-03-24T13-46-29,80433,SAFEWAY PHARMACY,NLP,NLP,NLP,4,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,80433,SAFEWAY PHARMACY,NLP,NLP,NLP,4,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,80433,SAFEWAY PHARMACY,NLP,NLP,NLP,4,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,80433,SAFEWAY PHARMACY,NLP,NLP,NLP,4,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,80433,SAFEWAY PHARMACY,NLP,NLP,NLP,4,03/26/2022 12:00:00 AM
2022-03-28T06-21-17,80433,SAFEWAY PHARMACY,NLP,NLP,NLP,4,03/27/2022 12:00:00 AM
2022-03-29T08-50-48,80433,SAFEWAY PHARMACY,NLP,NLP,NLP,4,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,80433,SAFEWAY PHARMACY,NLP,NLP,NLP,4,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,80433,SAFEWAY PHARMACY,NLP,NLP,NLP,4,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,80433,SAFEWAY PHARMACY,NLP,NLP,NLP,4,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,80433,SAFEWAY PHARMACY,NLP,NLP,NLP,4,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,80433,SAFEWAY PHARMACY,NLP,NLP,NLP,4,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,80433,SAFEWAY PHARMACY,NLP,NLP,NLP,4,04/02/2022 12:00:00 AM
2022-04-04T05-38-24,80433,SAFEWAY PHARMACY,NLP,NLP,NLP,4,04/03/2022 12:00:00 AM
2022-04-05T05-48-33,80433,SAFEWAY PHARMACY,NLP,NLP,NLP,4,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,80433,SAFEWAY PHARMACY,NLP,NLP,NLP,4,04/05/2022 12:00:00 AM
