2022-03-08T14-40-56,53045,HEALTHDIRECT 124,03/01/2022 12:00:00 AM,03/04/2022 12:00:00 AM,20,20,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,53045,HEALTHDIRECT 124,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,53045,ASCENSION RX 1104,NLP,NLP,NLP,6,03/08/2022 12:00:00 AM
2022-03-24T13-46-29,53045,ASCENSION RX 1104,NLP,NLP,NLP,6,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,53045,ASCENSION RX 1104,NLP,NLP,NLP,6,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,53045,ASCENSION RX 1104,NLP,NLP,NLP,6,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,53045,ASCENSION RX 1104,NLP,NLP,NLP,6,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,53045,ASCENSION RX 1104,NLP,NLP,NLP,6,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,53045,ASCENSION RX 1104,NLP,NLP,NLP,6,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,53045,HEALTHDIRECT 124,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-03-29T08-50-48,53045,ASCENSION RX 1104,NLP,NLP,NLP,6,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,53045,HEALTHDIRECT 124,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-03-30T09-27-07,53045,ASCENSION RX 1104,NLP,NLP,NLP,6,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,53045,HEALTHDIRECT 124,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-03-31T08-53-07,53045,ASCENSION RX 1104,NLP,NLP,NLP,6,03/23/2022 12:00:00 AM
2022-03-31T15-09-22,53045,ASCENSION RX 1104,NLP,NLP,NLP,6,03/23/2022 12:00:00 AM
2022-03-31T15-09-22,53045,HEALTHDIRECT 124,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-04-01T06-54-45,53045,ASCENSION RX 1104,NLP,NLP,NLP,6,03/23/2022 12:00:00 AM
2022-04-01T06-54-45,53045,HEALTHDIRECT 124,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-04-02T06-05-59,53045,HEALTHDIRECT 124,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-04-02T06-05-59,53045,ASCENSION RX 1104,NLP,NLP,NLP,6,03/23/2022 12:00:00 AM
2022-04-03T05-51-54,53045,HEALTHDIRECT 124,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-04-03T05-51-54,53045,ASCENSION RX 1104,NLP,NLP,NLP,6,03/23/2022 12:00:00 AM
2022-04-04T05-38-24,53045,HEALTHDIRECT 124,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-04-04T05-38-24,53045,ASCENSION RX 1104,NLP,NLP,NLP,6,03/23/2022 12:00:00 AM
2022-04-05T05-48-33,53045,ASCENSION RX 1104,NLP,NLP,NLP,6,03/23/2022 12:00:00 AM
2022-04-05T05-48-33,53045,HEALTHDIRECT 124,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-04-06T05-45-18,53045,ASCENSION RX 1104,NLP,NLP,NLP,6,03/23/2022 12:00:00 AM
2022-04-06T05-45-18,53045,HEALTHDIRECT 124,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-04-07T05-34-07,53045,HEALTHDIRECT 124,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-04-07T05-34-07,53045,ASCENSION RX 1104,NLP,NLP,NLP,6,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,53045,HealthDirect Inst. Pharmacy #124,NLP,NLP,NLP,17,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,53045,ASCENSION RX 1104,NLP,NLP,NLP,6,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,53045,HEALTHDIRECT 124,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-04-08T05-48-29,53045,HealthDirect Inst. Pharmacy #124,NLP,NLP,NLP,17,04/06/2022 12:00:00 AM
2022-04-09T05-41-09,53045,HEALTHDIRECT 124,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-04-09T05-41-09,53045,ASCENSION RX 1104,NLP,NLP,NLP,6,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,53045,HealthDirect Inst. Pharmacy #124,NLP,NLP,NLP,17,04/06/2022 12:00:00 AM
2022-04-10T09-31-27,53045,HEALTHDIRECT 124,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-04-10T09-31-27,53045,HealthDirect Inst. Pharmacy #124,NLP,NLP,NLP,17,04/06/2022 12:00:00 AM
2022-04-10T09-31-27,53045,ASCENSION RX 1104,NLP,NLP,NLP,6,04/07/2022 12:00:00 AM
2022-04-11T07-06-23,53045,HealthDirect Inst. Pharmacy #124,NLP,NLP,NLP,17,04/06/2022 12:00:00 AM
2022-04-11T07-06-23,53045,HEALTHDIRECT 124,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-04-11T07-06-23,53045,ASCENSION RX 1104,NLP,NLP,NLP,6,04/07/2022 12:00:00 AM
2022-04-12T07-06-55,53045,ASCENSION RX 1104,NLP,NLP,NLP,5,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,53045,HealthDirect Inst. Pharmacy #124,NLP,NLP,NLP,17,04/06/2022 12:00:00 AM
2022-04-12T07-06-55,53045,HEALTHDIRECT 124,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-04-13T09-20-57,53045,HEALTHDIRECT 124,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-04-13T09-20-57,53045,HealthDirect Inst. Pharmacy #124,NLP,NLP,NLP,17,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,53045,ASCENSION RX 1104,NLP,NLP,NLP,5,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,53045,HEALTHDIRECT 124,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-04-13T11-55-39,53045,HealthDirect Inst. Pharmacy #124,NLP,NLP,NLP,17,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,53045,ASCENSION RX 1104,NLP,NLP,NLP,5,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,53045,HEALTHDIRECT 124,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-04-14T09-18-06,53045,ASCENSION RX 1104,NLP,NLP,NLP,5,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,53045,HealthDirect Inst. Pharmacy #124,NLP,NLP,NLP,17,04/12/2022 12:00:00 AM
