2022-02-10T21-04-53,50675,NUCARA PHARMACY #12,01/28/2022 12:00:00 AM,,0,30,02/10/2022 12:00:00 AM
2022-02-18T16-04-21,50675,NUCARA PHARMACY #12,02/11/2022 12:00:00 AM,02/15/2022 12:00:00 AM,20,0,02/11/2022 12:00:00 AM
2022-03-03T09-56-49,50675,NUCARA PHARMACY #12,02/11/2022 12:00:00 AM,02/15/2022 12:00:00 AM,20,20,02/24/2022 12:00:00 AM
2022-03-03T10-04-44,50675,NUCARA PHARMACY #12,02/11/2022 12:00:00 AM,02/15/2022 12:00:00 AM,20,20,02/24/2022 12:00:00 AM
2022-03-08T14-40-56,50675,NUCARA PHARMACY #12,02/11/2022 12:00:00 AM,02/15/2022 12:00:00 AM,20,20,02/24/2022 12:00:00 AM
2022-03-29T08-50-48,50675,NUCARA PHARMACY #12,NLP,NLP,NLP,20,02/24/2022 12:00:00 AM
2022-03-30T09-27-07,50675,NUCARA PHARMACY #12,NLP,NLP,NLP,20,02/24/2022 12:00:00 AM
2022-03-31T08-53-07,50675,NUCARA PHARMACY #12,NLP,NLP,NLP,20,02/24/2022 12:00:00 AM
2022-03-31T15-09-22,50675,NUCARA PHARMACY #12,NLP,NLP,NLP,20,02/24/2022 12:00:00 AM
2022-04-01T06-54-45,50675,NUCARA PHARMACY #12,NLP,NLP,NLP,20,02/24/2022 12:00:00 AM
2022-04-02T06-05-59,50675,NUCARA PHARMACY #12,NLP,NLP,NLP,20,02/24/2022 12:00:00 AM
2022-04-03T05-51-54,50675,NUCARA PHARMACY #12,NLP,NLP,NLP,20,02/24/2022 12:00:00 AM
2022-04-04T05-38-24,50675,NUCARA PHARMACY #12,NLP,NLP,NLP,20,02/24/2022 12:00:00 AM
2022-04-05T05-48-33,50675,NUCARA PHARMACY #12,NLP,NLP,NLP,20,02/24/2022 12:00:00 AM
2022-04-06T05-45-18,50675,NUCARA PHARMACY #12,NLP,NLP,NLP,20,02/24/2022 12:00:00 AM
2022-04-07T05-34-07,50675,NUCARA PHARMACY #12,NLP,NLP,NLP,20,02/24/2022 12:00:00 AM
2022-04-08T05-48-29,50675,NUCARA PHARMACY #12,NLP,NLP,NLP,20,02/24/2022 12:00:00 AM
2022-04-09T05-41-09,50675,NUCARA PHARMACY #12,NLP,NLP,NLP,20,02/24/2022 12:00:00 AM
2022-04-10T09-31-27,50675,NUCARA PHARMACY #12,NLP,NLP,NLP,20,02/24/2022 12:00:00 AM
2022-04-11T07-06-23,50675,NUCARA PHARMACY #12,NLP,NLP,NLP,20,02/24/2022 12:00:00 AM
2022-04-12T07-06-55,50675,NUCARA PHARMACY #12,NLP,NLP,NLP,20,02/24/2022 12:00:00 AM
2022-06-24T04-15-26,50675,NUCARA PHARMACY #12,NLP,NLP,NLP,12,06/23/2022 12:00:00 AM
2022-06-25T04-15-18,50675,NUCARA PHARMACY #12,NLP,NLP,NLP,12,06/23/2022 12:00:00 AM
2022-06-26T04-15-17,50675,NUCARA PHARMACY #12,NLP,NLP,NLP,12,06/23/2022 12:00:00 AM
2022-06-27T04-15-31,50675,NUCARA PHARMACY #12,NLP,NLP,NLP,12,06/23/2022 12:00:00 AM
