2022-03-08T14-40-56,80452,SAFEWAY PHARMACY,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,40,,
2022-03-18T11-17-38,80452,SAFEWAY PHARMACY,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,80452,SAFEWAY PHARMACY,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,80452,SAFEWAY PHARMACY,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,80452,SAFEWAY PHARMACY,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,80452,SAFEWAY PHARMACY,NLP,NLP,NLP,40,03/19/2022 12:00:00 AM
2022-03-21T06-11-50,80452,SAFEWAY PHARMACY,NLP,NLP,NLP,40,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,80452,SAFEWAY PHARMACY,NLP,NLP,NLP,40,03/20/2022 12:00:00 AM
2022-03-21T16-35-27,80452,SAFEWAY PHARMACY,NLP,NLP,NLP,40,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,80452,SAFEWAY PHARMACY,NLP,NLP,NLP,40,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,80452,SAFEWAY PHARMACY,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
