2022-03-08T14-40-56,13215,UPSTATE UNIVERSITY HOSPITAL AT COMM,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,40,40,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,13215,UPSTATE UNIVERSITY HOSPITAL AT COMM,NLP,NLP,NLP,40,03/07/2022 12:00:00 AM
2022-03-29T08-50-48,13215,UPSTATE UNIVERSITY HOSPITAL AT COMM,NLP,NLP,NLP,40,03/07/2022 12:00:00 AM
2022-03-30T09-27-07,13215,UPSTATE UNIVERSITY HOSPITAL AT COMM,NLP,NLP,NLP,40,03/07/2022 12:00:00 AM
2022-03-31T08-53-07,13215,UPSTATE UNIVERSITY HOSPITAL AT COMM,NLP,NLP,NLP,40,03/07/2022 12:00:00 AM
2022-03-31T15-09-22,13215,UPSTATE UNIVERSITY HOSPITAL AT COMM,NLP,NLP,NLP,40,03/07/2022 12:00:00 AM
2022-04-01T06-54-45,13215,UPSTATE UNIVERSITY HOSPITAL AT COMM,NLP,NLP,NLP,40,03/07/2022 12:00:00 AM
2022-04-02T06-05-59,13215,UPSTATE UNIVERSITY HOSPITAL AT COMM,NLP,NLP,NLP,40,03/07/2022 12:00:00 AM
2022-04-03T05-51-54,13215,UPSTATE UNIVERSITY HOSPITAL AT COMM,NLP,NLP,NLP,40,03/07/2022 12:00:00 AM
2022-04-04T05-38-24,13215,UPSTATE UNIVERSITY HOSPITAL AT COMM,NLP,NLP,NLP,40,03/07/2022 12:00:00 AM
2022-04-05T05-48-33,13215,UPSTATE UNIVERSITY HOSPITAL AT COMM,NLP,NLP,NLP,40,03/07/2022 12:00:00 AM
2022-04-06T05-45-18,13215,UPSTATE UNIVERSITY HOSPITAL AT COMM,NLP,NLP,NLP,40,03/07/2022 12:00:00 AM
2022-04-07T05-34-07,13215,UPSTATE UNIVERSITY HOSPITAL AT COMM,NLP,NLP,NLP,40,03/07/2022 12:00:00 AM
2022-04-08T05-48-29,13215,UPSTATE UNIVERSITY HOSPITAL AT COMM,NLP,NLP,NLP,40,03/07/2022 12:00:00 AM
