2022-03-03T10-04-44,00987,Walgreens Store #13767,02/24/2022 12:00:00 AM,02/26/2022 12:00:00 AM,20,40,03/02/2022 12:00:00 AM
2022-03-25T08-10-53,00987,Walgreens Store #10755,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,00987,Walgreens Store #10755,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,00987,Walgreens Store #10755,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,00987,Walgreens Store #10755,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,00987,Walgreens Store #10755,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,00987,Walgreens Store #10755,NLP,NLP,NLP,24,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,00987,Walgreens Store #10755,NLP,NLP,NLP,24,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,00987,CVS Store #05800,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,00987,Walgreens Store #10755,NLP,NLP,NLP,24,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,00987,CVS Store #05800,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,00987,CVS Store #00926,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,00987,Walgreens Store #10755,NLP,NLP,NLP,24,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,00987,CVS Store #00926,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,00987,CVS Store #05800,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,00987,Walgreens Store #10755,NLP,NLP,NLP,24,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,00987,CVS Store #00926,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,00987,CVS Store #05800,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,00987,Walgreens Store #13767,NLP,NLP,NLP,18,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,00987,CVS Store #00926,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,00987,CVS Store #05800,NLP,NLP,NLP,19,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,00987,Walgreens Store #10755,NLP,NLP,NLP,23,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,00987,Sams Pharmacy #6543,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,00987,CVS Store #00926,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,00987,Walgreens Store #13767,NLP,NLP,NLP,18,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,00987,Sams Pharmacy #6543,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,00987,Walgreens Store #10755,NLP,NLP,NLP,23,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,00987,CVS Store #05800,NLP,NLP,NLP,19,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,00987,CVS Store #00926,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,00987,Walgreens Store #13767,NLP,NLP,NLP,18,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,00987,CVS Store #05800,NLP,NLP,NLP,19,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,00987,Sams Pharmacy #6543,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,00987,Walgreens Store #10755,NLP,NLP,NLP,23,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,00987,CVS Store #05800,NLP,NLP,NLP,19,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,00987,Walgreens Store #10755,NLP,NLP,NLP,24,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,00987,Walgreens Store #13767,NLP,NLP,NLP,18,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,00987,Sams Pharmacy #6543,NLP,NLP,NLP,40,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,00987,CVS Store #00926,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,00987,Walgreens Store #13767,NLP,NLP,NLP,18,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,00987,Walgreens Store #10755,NLP,NLP,NLP,24,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,00987,CVS Store #05800,NLP,NLP,NLP,19,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,00987,Sams Pharmacy #6543,NLP,NLP,NLP,40,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,00987,CVS Store #00926,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,00987,CVS Store #05800,NLP,NLP,NLP,19,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,00987,Walgreens Store #13767,NLP,NLP,NLP,18,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,00987,Walgreens Store #10755,NLP,NLP,NLP,24,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,00987,Walmart Pharmacy #2423,NLP,NLP,NLP,40,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,00987,CVS Store #00926,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,00987,Sams Pharmacy #6543,NLP,NLP,NLP,40,04/06/2022 12:00:00 AM
