2022-03-08T14-40-56,14214,SISTERS OF CHARITY HOSPITAL OF BUFF,03/03/2022 12:00:00 AM,03/05/2022 12:00:00 AM,40,,
2022-03-21T06-11-50,14214,Rite Aid 10827,NLP,NLP,NLP,20,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,14214,Rite Aid 10827,NLP,NLP,NLP,20,03/20/2022 12:00:00 AM
2022-03-21T16-35-27,14214,Rite Aid 10827,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,14214,Rite Aid 10827,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,14214,Rite Aid 10827,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,14214,Walgreens Store #03857,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,14214,Rite Aid 10827,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,14214,Walgreens Store #03857,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,14214,Rite Aid 10827,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,14214,Walgreens Store #03857,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,14214,Walgreens Store #03857,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,14214,Rite Aid 10827,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,14214,Walgreens Store #03857,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,14214,Rite Aid 10827,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,14214,Walgreens Store #03857,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,14214,Rite Aid 10827,NLP,NLP,NLP,40,03/26/2022 12:00:00 AM
2022-03-27T06-25-27,14214,Rite Aid 10827,NLP,NLP,NLP,40,03/26/2022 12:00:00 AM
2022-03-27T06-25-27,14214,Walgreens Store #03857,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,14214,Rite Aid 10827,NLP,NLP,NLP,40,03/27/2022 12:00:00 AM
2022-03-28T06-21-17,14214,Walgreens Store #03857,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,14214,Rite Aid 10827,NLP,NLP,NLP,40,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,14214,Walgreens Store #03857,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,14214,Walgreens Store #03857,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,14214,Rite Aid 10827,NLP,NLP,NLP,40,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,14214,Rite Aid 10827,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-31T08-53-07,14214,Walgreens Store #03857,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,14214,Rite Aid 10827,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-03-31T15-09-22,14214,Walgreens Store #03857,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-01T06-54-45,14214,Rite Aid 10827,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-01T06-54-45,14214,Walgreens Store #03857,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,14214,Walgreens Store #03857,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,14214,Rite Aid 10827,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-03T05-51-54,14214,Walgreens Store #03857,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,14214,Rite Aid 10827,NLP,NLP,NLP,20,04/02/2022 12:00:00 AM
2022-04-03T05-51-54,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-04T05-38-24,14214,Rite Aid 10827,NLP,NLP,NLP,20,04/03/2022 12:00:00 AM
2022-04-04T05-38-24,14214,Walgreens Store #03857,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-05T05-48-33,14214,Walgreens Store #03857,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,14214,Rite Aid 10827,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-06T05-45-18,14214,Walgreens Store #03857,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,14214,Rite Aid 10827,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-07T05-34-07,14214,Rite Aid 10827,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,14214,Walgreens Store #03857,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-08T05-48-29,14214,Walgreens Store #03857,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,14214,Rite Aid 10827,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-09T05-41-09,14214,Rite Aid 10827,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,14214,Walgreens Store #03857,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-10T09-31-27,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-10T09-31-27,14214,Walgreens Store #03857,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,14214,Rite Aid 10827,NLP,NLP,NLP,20,04/09/2022 12:00:00 AM
2022-04-11T07-06-23,14214,Walgreens Store #03857,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,14214,Rite Aid 10827,NLP,NLP,NLP,20,04/10/2022 12:00:00 AM
2022-04-11T07-06-23,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-12T07-06-55,14214,Walgreens Store #03857,NLP,NLP,NLP,20,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,14214,Rite Aid 10827,NLP,NLP,NLP,20,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,14214,CHC Buffalo - Benwood,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-13T09-20-57,14214,Walgreens Store #03857,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
