2022-03-08T14-40-56,83467,SALMON PHARMACY,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,20,20,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,83467,SALMON PHARMACY,NLP,NLP,NLP,20,03/12/2022 12:00:00 AM
2022-03-18T09-58-11,83467,SALMON PHARMACY,NLP,NLP,NLP,19,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,83467,SALMON PHARMACY,NLP,NLP,NLP,19,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,83467,SALMON PHARMACY,NLP,NLP,NLP,19,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,83467,SALMON PHARMACY,NLP,NLP,NLP,19,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,83467,SALMON PHARMACY,NLP,NLP,NLP,19,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,83467,SALMON PHARMACY,NLP,NLP,NLP,19,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,83467,SALMON PHARMACY,NLP,NLP,NLP,19,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,83467,SALMON PHARMACY,NLP,NLP,NLP,19,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,83467,SALMON PHARMACY,NLP,NLP,NLP,19,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,83467,SALMON PHARMACY,NLP,NLP,NLP,19,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,83467,SALMON PHARMACY,NLP,NLP,NLP,19,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,83467,SALMON PHARMACY,NLP,NLP,NLP,19,03/23/2022 12:00:00 AM
2022-03-24T07-49-11,83467,SALMON PHARMACY,NLP,NLP,NLP,19,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,83467,SALMON PHARMACY,NLP,NLP,NLP,19,03/23/2022 12:00:00 AM
