2022-03-08T14-40-56,65556,CENTRAL OZARKS MEDICAL CENTER,03/08/2022 12:00:00 AM,,40,,
2022-06-11T04-15-14,65556,YORK AND CO PHARMACY,NLP,NLP,NLP,20,06/10/2022 12:00:00 AM
2022-06-12T04-15-15,65556,YORK AND CO PHARMACY,NLP,NLP,NLP,20,06/10/2022 12:00:00 AM
2022-06-13T04-15-40,65556,YORK AND CO PHARMACY,NLP,NLP,NLP,20,06/10/2022 12:00:00 AM
2022-06-14T04-15-16,65556,YORK AND CO PHARMACY,NLP,NLP,NLP,20,06/10/2022 12:00:00 AM
2022-06-15T04-15-27,65556,YORK AND CO PHARMACY,NLP,NLP,NLP,20,06/10/2022 12:00:00 AM
2022-06-16T04-15-45,65556,YORK AND CO PHARMACY,NLP,NLP,NLP,20,06/10/2022 12:00:00 AM
2022-06-17T04-15-27,65556,YORK AND CO PHARMACY,NLP,NLP,NLP,20,06/10/2022 12:00:00 AM
2022-06-18T04-15-18,65556,YORK AND CO PHARMACY,NLP,NLP,NLP,20,06/10/2022 12:00:00 AM
2022-06-19T04-15-29,65556,YORK AND CO PHARMACY,NLP,NLP,NLP,20,06/10/2022 12:00:00 AM
2022-06-20T04-15-58,65556,YORK AND CO PHARMACY,NLP,NLP,NLP,20,06/10/2022 12:00:00 AM
2022-06-21T04-15-35,65556,YORK AND CO PHARMACY,NLP,NLP,NLP,20,06/10/2022 12:00:00 AM
2022-06-22T04-15-20,65556,YORK AND CO PHARMACY,NLP,NLP,NLP,20,06/10/2022 12:00:00 AM
2022-06-23T04-15-16,65556,YORK AND CO PHARMACY,NLP,NLP,NLP,20,06/10/2022 12:00:00 AM
