2022-03-08T14-40-56,92130,VONS PHARMACY,02/26/2022 12:00:00 AM,03/02/2022 12:00:00 AM,20,20,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,92130,VONS PHARMACY,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,92130,VONS PHARMACY,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,92130,VONS PHARMACY,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,92130,VONS PHARMACY,NLP,NLP,NLP,19,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,92130,VONS PHARMACY,NLP,NLP,NLP,19,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,92130,VONS PHARMACY,NLP,NLP,NLP,19,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,92130,VONS PHARMACY,NLP,NLP,NLP,16,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,92130,VONS PHARMACY,NLP,NLP,NLP,15,03/19/2022 12:00:00 AM
2022-03-21T06-11-50,92130,VONS PHARMACY,NLP,NLP,NLP,15,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,92130,VONS PHARMACY,NLP,NLP,NLP,15,03/20/2022 12:00:00 AM
2022-03-21T16-35-27,92130,VONS PHARMACY,NLP,NLP,NLP,15,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,92130,VONS PHARMACY,NLP,NLP,NLP,15,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,92130,VONS PHARMACY,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
