2022-03-08T14-40-56,90048,MID-WEST MEDICAL PHARMACY,03/01/2022 12:00:00 AM,03/04/2022 12:00:00 AM,60,,
2022-03-16T18-51-35,90048,MID-WEST MEDICAL PHARMACY,NLP,NLP,NLP,60,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,90048,MID-WEST MEDICAL PHARMACY,NLP,NLP,NLP,60,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,90048,CEDARS-SINAI MEDICAL CENTER,NLP,NLP,NLP,120,03/16/2022 12:00:00 AM
2022-03-18T11-03-37,90048,MID-WEST MEDICAL PHARMACY,NLP,NLP,NLP,60,03/10/2022 12:00:00 AM
2022-03-18T11-03-37,90048,CEDARS-SINAI MEDICAL CENTER,NLP,NLP,NLP,120,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,90048,CEDARS-SINAI MEDICAL CENTER,NLP,NLP,NLP,120,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,90048,CEDARS-SINAI MEDICAL CENTER,NLP,NLP,NLP,120,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,90048,CEDARS-SINAI MEDICAL CENTER,NLP,NLP,NLP,120,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,90048,CEDARS-SINAI MEDICAL CENTER,NLP,NLP,NLP,120,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,90048,CEDARS-SINAI MEDICAL CENTER,NLP,NLP,NLP,120,03/20/2022 12:00:00 AM
2022-03-21T06-11-50,90048,CEDARS-SINAI MEDICAL CENTER,NLP,NLP,NLP,120,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,90048,CEDARS-SINAI MEDICAL CENTER,NLP,NLP,NLP,120,03/20/2022 12:00:00 AM
2022-03-21T16-35-27,90048,CEDARS-SINAI MEDICAL CENTER,NLP,NLP,NLP,120,03/20/2022 12:00:00 AM
2022-03-22T09-16-18,90048,CEDARS-SINAI MEDICAL CENTER,NLP,NLP,NLP,120,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,90048,CEDARS-SINAI MEDICAL CENTER,NLP,NLP,NLP,120,03/23/2022 12:00:00 AM
2022-03-24T07-49-11,90048,CEDARS-SINAI MEDICAL CENTER,NLP,NLP,NLP,120,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,90048,CEDARS-SINAI MEDICAL CENTER,NLP,NLP,NLP,120,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,90048,CEDARS-SINAI MEDICAL CENTER,NLP,NLP,NLP,200,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,90048,MID-WEST MEDICAL PHARMACY,NLP,NLP,NLP,56,03/24/2022 12:00:00 AM
