2022-03-08T14-40-56,98502,Walgreens Store #05571,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,20,19,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,98502,Walgreens Store #05571,NLP,NLP,NLP,19,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,98502,Walgreens Store #05571,NLP,NLP,NLP,39,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,98502,Walgreens Store #05571,NLP,NLP,NLP,39,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,98502,SAFEWAY PHARMACY,NLP,NLP,NLP,12,03/17/2022 12:00:00 AM
2022-03-18T11-17-38,98502,Walgreens Store #05571,NLP,NLP,NLP,39,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,98502,SAFEWAY PHARMACY,NLP,NLP,NLP,12,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,98502,Walgreens Store #05571,NLP,NLP,NLP,39,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,98502,SAFEWAY PHARMACY,NLP,NLP,NLP,12,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,98502,Walgreens Store #05571,NLP,NLP,NLP,39,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,98502,Walgreens Store #05571,NLP,NLP,NLP,39,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,98502,SAFEWAY PHARMACY,NLP,NLP,NLP,12,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,98502,SAFEWAY PHARMACY,NLP,NLP,NLP,12,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,98502,Walgreens Store #05571,NLP,NLP,NLP,39,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,98502,SAFEWAY PHARMACY,NLP,NLP,NLP,12,03/20/2022 12:00:00 AM
2022-03-21T06-11-50,98502,Walgreens Store #05571,NLP,NLP,NLP,39,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,98502,SAFEWAY PHARMACY,NLP,NLP,NLP,12,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,98502,Walgreens Store #05571,NLP,NLP,NLP,39,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,98502,Walgreens Store #05571,NLP,NLP,NLP,39,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,98502,SAFEWAY PHARMACY,NLP,NLP,NLP,12,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,98502,SAFEWAY PHARMACY,NLP,NLP,NLP,12,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,98502,Walgreens Store #05571,NLP,NLP,NLP,39,03/18/2022 12:00:00 AM
2022-03-23T08-41-43,98502,CVS Store #16153,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,98502,HAGGEN PHARMACY,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,98502,SAFEWAY PHARMACY,NLP,NLP,NLP,12,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,98502,Walgreens Store #05571,NLP,NLP,NLP,39,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,98502,CVS Store #16153,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,98502,HAGGEN PHARMACY,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,98502,SAFEWAY PHARMACY,NLP,NLP,NLP,12,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,98502,Walgreens Store #05571,NLP,NLP,NLP,39,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,98502,HAGGEN PHARMACY,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,98502,SAFEWAY PHARMACY,NLP,NLP,NLP,12,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,98502,Walgreens Store #05571,NLP,NLP,NLP,39,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,98502,CVS Store #16153,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,98502,SAFEWAY PHARMACY,NLP,NLP,NLP,12,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,98502,CVS Store #16153,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,98502,HAGGEN PHARMACY,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,98502,Walgreens Store #05571,NLP,NLP,NLP,39,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,98502,CVS Store #16153,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,98502,SAFEWAY PHARMACY,NLP,NLP,NLP,12,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,98502,HAGGEN PHARMACY,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,98502,Walgreens Store #05571,NLP,NLP,NLP,39,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,98502,HAGGEN PHARMACY,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,98502,Walgreens Store #05571,NLP,NLP,NLP,39,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,98502,CVS Store #16153,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,98502,SAFEWAY PHARMACY,NLP,NLP,NLP,12,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,98502,CVS Store #16153,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,98502,Walgreens Store #05571,NLP,NLP,NLP,39,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,98502,HAGGEN PHARMACY,NLP,NLP,NLP,20,03/26/2022 12:00:00 AM
2022-03-27T06-25-27,98502,SAFEWAY PHARMACY,NLP,NLP,NLP,12,03/26/2022 12:00:00 AM
2022-03-28T06-21-17,98502,Walgreens Store #05571,NLP,NLP,NLP,39,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,98502,SAFEWAY PHARMACY,NLP,NLP,NLP,12,03/27/2022 12:00:00 AM
2022-03-28T06-21-17,98502,HAGGEN PHARMACY,NLP,NLP,NLP,20,03/27/2022 12:00:00 AM
2022-03-28T06-21-17,98502,CVS Store #16153,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,98502,CVS Store #16153,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,98502,HAGGEN PHARMACY,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,98502,Walgreens Store #05571,NLP,NLP,NLP,17,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,98502,SAFEWAY PHARMACY,NLP,NLP,NLP,12,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,98502,CVS Store #16153,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,98502,Walgreens Store #05571,NLP,NLP,NLP,17,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,98502,SAFEWAY PHARMACY,NLP,NLP,NLP,12,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,98502,HAGGEN PHARMACY,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,98502,CVS Store #16153,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,98502,HAGGEN PHARMACY,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,98502,SAFEWAY PHARMACY,NLP,NLP,NLP,12,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,98502,Walgreens Store #05571,NLP,NLP,NLP,17,03/30/2022 12:00:00 AM
