2022-03-08T14-40-56,80537,SAFEWAY PHARMACY,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,20,,
2022-03-21T06-11-50,80537,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,80537,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/20/2022 12:00:00 AM
2022-03-21T16-35-27,80537,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,80537,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,80537,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,80537,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,80537,LOVELAND COMM HEALTH CTR PHARMACY,NLP,NLP,NLP,60,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,80537,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,80537,LOVELAND COMM HEALTH CTR PHARMACY,NLP,NLP,NLP,60,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,80537,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,80537,LOVELAND COMM HEALTH CTR PHARMACY,NLP,NLP,NLP,60,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,80537,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,80537,LOVELAND COMM HEALTH CTR PHARMACY,NLP,NLP,NLP,60,03/24/2022 12:00:00 AM
2022-03-26T12-42-50,80537,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,80537,LOVELAND COMM HEALTH CTR PHARMACY,NLP,NLP,NLP,60,03/24/2022 12:00:00 AM
2022-03-27T06-25-27,80537,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/26/2022 12:00:00 AM
2022-03-28T06-21-17,80537,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/27/2022 12:00:00 AM
2022-03-28T06-21-17,80537,LOVELAND COMM HEALTH CTR PHARMACY,NLP,NLP,NLP,60,03/24/2022 12:00:00 AM
2022-03-29T08-50-48,80537,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,80537,LOVELAND COMM HEALTH CTR PHARMACY,NLP,NLP,NLP,60,03/24/2022 12:00:00 AM
2022-03-30T09-27-07,80537,LOVELAND COMM HEALTH CTR PHARMACY,NLP,NLP,NLP,60,03/24/2022 12:00:00 AM
2022-03-30T09-27-07,80537,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,80537,LOVELAND COMM HEALTH CTR PHARMACY,NLP,NLP,NLP,60,03/24/2022 12:00:00 AM
2022-03-31T08-53-07,80537,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,80537,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,80537,LOVELAND COMM HEALTH CTR PHARMACY,NLP,NLP,NLP,60,03/24/2022 12:00:00 AM
2022-04-01T06-54-45,80537,LOVELAND COMM HEALTH CTR PHARMACY,NLP,NLP,NLP,60,03/24/2022 12:00:00 AM
