2022-03-03T10-04-44,50125,MEDICAP PHARMACY #8036,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,20,20,03/01/2022 12:00:00 AM
2022-03-16T18-51-35,50125,MEDICAP PHARMACY #8036,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,50125,MEDICAP PHARMACY #8036,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-18T11-03-37,50125,MEDICAP PHARMACY #8036,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,50125,MEDICAP PHARMACY #8036,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,50125,MEDICAP PHARMACY #8036,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,50125,MEDICAP PHARMACY #8036,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,50125,MEDICAP PHARMACY #8036,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,50125,MEDICAP PHARMACY #8036,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,50125,MEDICAP PHARMACY #8036,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,50125,MEDICAP PHARMACY #8036,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,50125,MEDICAP PHARMACY #8036,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,50125,MEDICAP PHARMACY #8036,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,50125,MEDICAP PHARMACY #8036,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
