2022-02-16T08-23-53,94598,CVS Store #09815,02/15/2022 12:00:00 AM,,0,38,02/15/2022 12:00:00 AM
2022-03-03T09-56-49,94598,CVS Store #09815,02/25/2022 12:00:00 AM,,20,34,02/21/2022 12:00:00 AM
2022-03-03T10-04-44,94598,CVS Store #09815,02/25/2022 12:00:00 AM,,20,34,02/21/2022 12:00:00 AM
2022-03-08T14-40-56,94598,CVS Store #09815,02/25/2022 12:00:00 AM,,20,34,02/21/2022 12:00:00 AM
2022-03-25T08-10-53,94598,CVS Store #09815,NLP,NLP,NLP,71,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,94598,CVS Store #09815,NLP,NLP,NLP,70,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,94598,CVS Store #09815,NLP,NLP,NLP,70,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,94598,CVS Store #09815,NLP,NLP,NLP,70,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,94598,CVS Store #09815,NLP,NLP,NLP,70,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,94598,CVS Store #09815,NLP,NLP,NLP,69,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,94598,CVS Store #09815,NLP,NLP,NLP,69,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,94598,CVS Store #09815,NLP,NLP,NLP,68,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,94598,CVS Store #09815,NLP,NLP,NLP,68,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,94598,CVS Store #09815,NLP,NLP,NLP,68,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,94598,CVS Store #09815,NLP,NLP,NLP,68,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,94598,CVS Store #09815,NLP,NLP,NLP,68,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,94598,CVS Store #09815,NLP,NLP,NLP,68,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,94598,CVS Store #09815,NLP,NLP,NLP,66,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,94598,CVS Store #09815,NLP,NLP,NLP,63,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,94598,CVS Store #09815,NLP,NLP,NLP,61,04/06/2022 12:00:00 AM
