2022-03-08T14-40-56,22193,SAFEWAY PHARMACY,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,20,,
2022-03-16T18-51-35,22193,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,22193,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,22193,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,22193,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T11-17-38,22193,CVS Store #01832,NLP,NLP,NLP,19,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,22193,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,22193,CVS Store #01832,NLP,NLP,NLP,19,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,22193,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,22193,CVS Store #01832,NLP,NLP,NLP,19,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,22193,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,22193,CVS Store #01832,NLP,NLP,NLP,19,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,22193,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,22193,CVS Store #01832,NLP,NLP,NLP,19,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,22193,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/20/2022 12:00:00 AM
2022-03-21T06-11-50,22193,CVS Store #01832,NLP,NLP,NLP,19,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,22193,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,22193,CVS Store #01832,NLP,NLP,NLP,19,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,22193,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-21T16-35-27,22193,CVS Store #01832,NLP,NLP,NLP,19,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,22193,CVS Store #01832,NLP,NLP,NLP,19,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,22193,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
