2022-03-08T14-40-56,11206,NYC HEALTH + HOSPITALS / WOODHULL,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,20,,
2022-05-10T06-06-54,11206,V and A PHARMACY,NLP,NLP,NLP,20,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,11206,Walgreens Store #01918,NLP,NLP,NLP,34,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,11206,V and A PHARMACY,NLP,NLP,NLP,20,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,11206,Walgreens Store #14410,NLP,NLP,NLP,18,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,11206,Walgreens Store #01918,NLP,NLP,NLP,34,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,11206,V AND A PHARMACY,NLP,NLP,NLP,20,05/10/2022 12:00:00 AM
2022-05-13T06-07-31,11206,Walgreens Store #14410,NLP,NLP,NLP,18,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,11206,Walgreens Store #01918,NLP,NLP,NLP,34,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,11206,V AND A PHARMACY,NLP,NLP,NLP,19,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,11206,Walgreens Store #14410,NLP,NLP,NLP,18,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,11206,Walgreens Store #01918,NLP,NLP,NLP,34,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,11206,V AND A PHARMACY,NLP,NLP,NLP,19,05/12/2022 12:00:00 AM
2022-05-15T05-54-13,11206,Walgreens Store #01918,NLP,NLP,NLP,34,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,11206,Walgreens Store #14410,NLP,NLP,NLP,18,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,11206,V AND A PHARMACY,NLP,NLP,NLP,19,05/12/2022 12:00:00 AM
2022-05-16T05-54-24,11206,Walgreens Store #14410,NLP,NLP,NLP,18,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,11206,Walgreens Store #01918,NLP,NLP,NLP,34,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,11206,V AND A PHARMACY,NLP,NLP,NLP,19,05/12/2022 12:00:00 AM
2022-05-17T05-27-38,11206,Walgreens Store #01918,NLP,NLP,NLP,14,05/16/2022 12:00:00 AM
2022-05-17T05-27-38,11206,Walgreens Store #14410,NLP,NLP,NLP,10,05/16/2022 12:00:00 AM
2022-05-17T05-27-38,11206,V AND A PHARMACY,NLP,NLP,NLP,19,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,11206,WALGREENS STORE #01918,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,11206,WALGREENS STORE #14410,NLP,NLP,NLP,9,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,11206,V AND A PHARMACY,NLP,NLP,NLP,19,05/16/2022 12:00:00 AM
2022-05-19T05-25-31,11206,WALGREENS STORE #14410,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,11206,WALGREENS STORE #01918,NLP,NLP,NLP,14,05/18/2022 12:00:00 AM
2022-05-19T05-25-31,11206,V AND A PHARMACY,NLP,NLP,NLP,18,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,11206,WALGREENS STORE #14410,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,11206,WALGREENS STORE #01918,NLP,NLP,NLP,14,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,11206,V AND A PHARMACY,NLP,NLP,NLP,18,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,11206,WALGREENS STORE #14410,NLP,NLP,NLP,9,05/19/2022 12:00:00 AM
2022-05-21T05-54-21,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-21T05-54-21,11206,WALGREENS STORE #01918,NLP,NLP,NLP,14,05/19/2022 12:00:00 AM
2022-05-22T09-07-10,11206,WALGREENS STORE #14410,NLP,NLP,NLP,9,05/19/2022 12:00:00 AM
2022-05-22T09-07-10,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,11206,WALGREENS STORE #01918,NLP,NLP,NLP,14,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11206,WALGREENS STORE #14410,NLP,NLP,NLP,9,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11206,WALGREENS STORE #01918,NLP,NLP,NLP,14,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11206,V AND A PHARMACY,NLP,NLP,NLP,15,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,11206,WALGREENS STORE #14410,NLP,NLP,NLP,9,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,11206,WALGREENS STORE #01918,NLP,NLP,NLP,14,05/19/2022 12:00:00 AM
