2022-03-08T14-40-56,11235,NYC HEALTH + HOSPITALS/CONEY ISLAND,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,20,,
2022-03-23T08-41-43,11235,Rite Aid 10586,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,11235,Rite Aid 04876,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,11235,Rite Aid 10586,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,11235,Rite Aid 04876,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,11235,Rite Aid 10586,NLP,NLP,NLP,18,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,11235,Rite Aid 04876,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,11235,Rite Aid 10586,NLP,NLP,NLP,18,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,11235,Rite Aid 04876,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,11235,CVS Store #02700,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,11235,Rite Aid 04876,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,11235,Rite Aid 10586,NLP,NLP,NLP,18,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,11235,CVS Store #02700,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,11235,Rite Aid 04876,NLP,NLP,NLP,19,03/26/2022 12:00:00 AM
2022-03-26T12-42-50,11235,Rite Aid 10586,NLP,NLP,NLP,18,03/26/2022 12:00:00 AM
2022-03-26T12-42-50,11235,CVS Store #02700,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,11235,Rite Aid 04876,NLP,NLP,NLP,19,03/26/2022 12:00:00 AM
2022-03-27T06-25-27,11235,Rite Aid 10586,NLP,NLP,NLP,18,03/26/2022 12:00:00 AM
2022-03-27T06-25-27,11235,CVS Store #02700,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,11235,CVS Store #02700,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,11235,Stop and Shop Store # 505,NLP,NLP,NLP,20,03/27/2022 12:00:00 AM
2022-03-28T06-21-17,11235,Rite Aid 10586,NLP,NLP,NLP,16,03/27/2022 12:00:00 AM
2022-03-28T06-21-17,11235,Rite Aid 04876,NLP,NLP,NLP,19,03/27/2022 12:00:00 AM
