2022-03-03T09-56-49,34698,AMA Medical Group,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,20,15,02/25/2022 12:00:00 AM
2022-03-23T08-41-43,34698,Walgreens Store #04398,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,34698,Walgreens Store #04398,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,34698,Walgreens Store #04398,NLP,NLP,NLP,40,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,34698,CVS Store #04987,NLP,NLP,NLP,17,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,34698,Walgreens Store #04398,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,34698,Walgreens Store #04398,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,34698,CVS Store #04987,NLP,NLP,NLP,17,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,34698,Walgreens Store #04398,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,34698,CVS Store #04987,NLP,NLP,NLP,17,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,34698,Walgreens Store #04398,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,34698,CVS Store #04987,NLP,NLP,NLP,17,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,34698,Walgreens Store #04398,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,34698,CVS Store #04987,NLP,NLP,NLP,17,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,34698,Walgreens Store #04398,NLP,NLP,NLP,40,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,34698,CVS Store #04987,NLP,NLP,NLP,17,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,34698,CVS Store #04987,NLP,NLP,NLP,17,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,34698,Walgreens Store #04398,NLP,NLP,NLP,40,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,34698,Walgreens Store #04398,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,34698,CVS Store #04987,NLP,NLP,NLP,16,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,34698,Walgreens Store #04398,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,34698,CVS Store #04987,NLP,NLP,NLP,16,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,34698,Walgreens Store #04398,NLP,NLP,NLP,40,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,34698,AMA Medical Group,NLP,NLP,NLP,69,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,34698,CVS Store #04987,NLP,NLP,NLP,16,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,34698,CVS Store #04987,NLP,NLP,NLP,16,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,34698,Walgreens Store #04398,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,34698,AMA Medical Group,NLP,NLP,NLP,69,03/31/2022 12:00:00 AM
2022-04-03T05-51-54,34698,CVS Store #04987,NLP,NLP,NLP,16,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,34698,AMA Medical Group,NLP,NLP,NLP,69,03/31/2022 12:00:00 AM
2022-04-03T05-51-54,34698,Walgreens Store #04398,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,34698,CVS Store #04987,NLP,NLP,NLP,16,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,34698,Walgreens Store #04398,NLP,NLP,NLP,40,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,34698,AMA Medical Group,NLP,NLP,NLP,69,03/31/2022 12:00:00 AM
2022-04-05T05-48-33,34698,Walgreens Store #04398,NLP,NLP,NLP,39,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,34698,CVS Store #04987,NLP,NLP,NLP,16,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,34698,AMA Medical Group,NLP,NLP,NLP,69,03/31/2022 12:00:00 AM
2022-04-06T05-45-18,34698,AMA Medical Group,NLP,NLP,NLP,69,03/31/2022 12:00:00 AM
2022-04-06T05-45-18,34698,CVS Store #04987,NLP,NLP,NLP,36,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,34698,Walgreens Store #04398,NLP,NLP,NLP,38,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,34698,CVS Store #04987,NLP,NLP,NLP,35,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,34698,AMA Medical Group,NLP,NLP,NLP,69,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,34698,Walgreens Store #04398,NLP,NLP,NLP,37,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,34698,CVS Store #04987,NLP,NLP,NLP,35,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,34698,Walgreens Store #04398,NLP,NLP,NLP,37,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,34698,AMA Medical Group,NLP,NLP,NLP,69,04/06/2022 12:00:00 AM
2022-04-09T05-41-09,34698,CVS Store #04987,NLP,NLP,NLP,34,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,34698,AMA Medical Group,NLP,NLP,NLP,69,04/06/2022 12:00:00 AM
2022-04-09T05-41-09,34698,Walgreens Store #04398,NLP,NLP,NLP,34,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,34698,CVS Store #04987,NLP,NLP,NLP,34,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,34698,AMA Medical Group,NLP,NLP,NLP,69,04/06/2022 12:00:00 AM
2022-04-10T09-31-27,34698,Walgreens Store #04398,NLP,NLP,NLP,34,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,34698,AMA Medical Group,NLP,NLP,NLP,69,04/06/2022 12:00:00 AM
2022-04-11T07-06-23,34698,CVS Store #04987,NLP,NLP,NLP,34,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,34698,Walgreens Store #04398,NLP,NLP,NLP,34,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,34698,CVS Store #04987,NLP,NLP,NLP,33,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,34698,Walgreens Store #04398,NLP,NLP,NLP,13,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,34698,AMA Medical Group,NLP,NLP,NLP,69,04/06/2022 12:00:00 AM
2022-04-13T09-20-57,34698,Walgreens Store #04398,NLP,NLP,NLP,13,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,34698,AMA Medical Group,NLP,NLP,NLP,62,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,34698,CVS Store #04987,NLP,NLP,NLP,32,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,34698,Walgreens Store #04398,NLP,NLP,NLP,13,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,34698,CVS Store #04987,NLP,NLP,NLP,32,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,34698,AMA Medical Group,NLP,NLP,NLP,62,04/12/2022 12:00:00 AM
