2022-03-08T14-40-56,85351,BANNER BOSWELL MEDICAL CENTER,03/04/2022 12:00:00 AM,03/07/2022 12:00:00 AM,200,,
2022-03-18T09-58-11,85351,BANNER BOSWELL MEDICAL CENTER,NLP,NLP,NLP,200,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,85351,BANNER BOSWELL MEDICAL CENTER,NLP,NLP,NLP,200,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,85351,BANNER BOSWELL MEDICAL CENTER,NLP,NLP,NLP,200,03/14/2022 12:00:00 AM
2022-03-18T15-22-50,85351,BANNER BOSWELL MEDICAL CENTER,NLP,NLP,NLP,200,03/14/2022 12:00:00 AM
2022-03-19T08-15-59,85351,BANNER BOSWELL MEDICAL CENTER,NLP,NLP,NLP,200,03/14/2022 12:00:00 AM
2022-03-19T11-58-02,85351,BANNER BOSWELL MEDICAL CENTER,NLP,NLP,NLP,200,03/14/2022 12:00:00 AM
2022-03-20T06-05-37,85351,BANNER BOSWELL MEDICAL CENTER,NLP,NLP,NLP,200,03/14/2022 12:00:00 AM
2022-03-21T06-11-50,85351,BANNER BOSWELL MEDICAL CENTER,NLP,NLP,NLP,200,03/14/2022 12:00:00 AM
2022-03-21T14-18-38,85351,BANNER BOSWELL MEDICAL CENTER,NLP,NLP,NLP,200,03/14/2022 12:00:00 AM
2022-03-21T16-35-27,85351,BANNER BOSWELL MEDICAL CENTER,NLP,NLP,NLP,200,03/14/2022 12:00:00 AM
2022-03-28T06-21-17,85351,BANNER BOSWELL MEDICAL CENTER,NLP,NLP,NLP,200,03/14/2022 12:00:00 AM
2022-03-29T08-50-48,85351,BANNER BOSWELL MEDICAL CENTER,NLP,NLP,NLP,200,03/14/2022 12:00:00 AM
2022-03-30T09-27-07,85351,BANNER BOSWELL MEDICAL CENTER,NLP,NLP,NLP,200,03/14/2022 12:00:00 AM
2022-03-30T09-27-07,85351,CVS Store #00007,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,85351,BANNER BOSWELL MEDICAL CENTER,NLP,NLP,NLP,200,03/14/2022 12:00:00 AM
2022-03-31T08-53-07,85351,CVS Store #09217,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,85351,CVS Store #00007,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
