2022-03-08T14-40-56,77062,KROGER PHARMACY 03400300,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,20,,
2022-03-18T09-58-11,77062,KROGER PHARMACY 03400300,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T09-58-11,77062,Walgreens Store #05709,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,77062,KROGER PHARMACY 03400300,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,77062,Walgreens Store #05709,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,77062,Walgreens Store #05709,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T11-17-38,77062,KROGER PHARMACY 03400300,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,77062,Walgreens Store #05709,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,77062,KROGER PHARMACY 03400300,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,77062,Walgreens Store #05709,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-19T08-15-59,77062,KROGER PHARMACY 03400300,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
