2022-03-08T14-40-56,10011,LENOX HEALTH GREENWICH VILLAGE,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,40,20,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,10011,LENOX HEALTH GREENWICH VILLAGE,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-03-18T11-17-38,10011,LENOX HEALTH GREENWICH VILLAGE,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,10011,LENOX HEALTH GREENWICH VILLAGE,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,10011,LENOX HEALTH GREENWICH VILLAGE,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,10011,LENOX HEALTH GREENWICH VILLAGE,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,10011,LENOX HEALTH GREENWICH VILLAGE,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,10011,LENOX HEALTH GREENWICH VILLAGE,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,10011,LENOX HEALTH GREENWICH VILLAGE,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,10011,LENOX HEALTH GREENWICH VILLAGE,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-22T09-16-18,10011,LENOX HEALTH GREENWICH VILLAGE,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-23T08-41-43,10011,LENOX HEALTH GREENWICH VILLAGE,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-24T07-49-11,10011,LENOX HEALTH GREENWICH VILLAGE,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-24T13-46-29,10011,LENOX HEALTH GREENWICH VILLAGE,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-26T06-57-27,10011,LENOX HEALTH GREENWICH VILLAGE,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,10011,LENOX HEALTH GREENWICH VILLAGE,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
