2022-03-03T10-04-44,92845,Rite Aid 05743,03/02/2022 12:00:00 AM,,20,,
2022-03-16T18-51-35,92845,Rite Aid 05743,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T11-17-38,92845,Rite Aid 05743,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,92845,Rite Aid 05743,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,92845,Rite Aid 05743,NLP,NLP,NLP,19,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,92845,Rite Aid 05743,NLP,NLP,NLP,19,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,92845,Rite Aid 05743,NLP,NLP,NLP,19,03/19/2022 12:00:00 AM
2022-03-21T06-11-50,92845,Rite Aid 05743,NLP,NLP,NLP,19,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,92845,Rite Aid 05743,NLP,NLP,NLP,19,03/20/2022 12:00:00 AM
2022-03-21T16-35-27,92845,Rite Aid 05743,NLP,NLP,NLP,19,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,92845,Rite Aid 05743,NLP,NLP,NLP,19,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,92845,Rite Aid 05743,NLP,NLP,NLP,19,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,92845,Rite Aid 05743,NLP,NLP,NLP,19,03/22/2022 12:00:00 AM
