2022-03-08T14-40-56,32164,One Pharmacy,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,40,40,03/08/2022 12:00:00 AM
2022-03-08T14-40-56,32164,CVS Store #17428,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,40,40,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,32164,CVS Store #17428,NLP,NLP,NLP,40,03/11/2022 12:00:00 AM
2022-03-16T18-51-35,32164,One Pharmacy,NLP,NLP,NLP,40,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,32164,CVS Store #17428,NLP,NLP,NLP,40,03/15/2022 12:00:00 AM
2022-03-18T09-58-11,32164,One Pharmacy,NLP,NLP,NLP,40,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,32164,CVS Store #17428,NLP,NLP,NLP,40,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,32164,One Pharmacy,NLP,NLP,NLP,40,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,32164,CVS Store #17428,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-18T11-17-38,32164,One Pharmacy,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,32164,CVS Store #17428,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,32164,One Pharmacy,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,32164,One Pharmacy,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-19T08-15-59,32164,CVS Store #17428,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,32164,CVS Store #17428,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,32164,One Pharmacy,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,32164,One Pharmacy,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,32164,CVS Store #17428,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,32164,CVS Store #17428,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,32164,One Pharmacy,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,32164,CVS Store #17428,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,32164,One Pharmacy,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
