2022-03-08T14-40-56,91010,PAX,03/01/2022 12:00:00 AM,03/04/2022 12:00:00 AM,60,,
2022-03-16T18-51-35,91010,PAX,NLP,NLP,NLP,60,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,91010,PAX,NLP,NLP,NLP,60,03/11/2022 12:00:00 AM
2022-03-18T11-03-37,91010,PAX,NLP,NLP,NLP,60,03/11/2022 12:00:00 AM
2022-03-18T11-17-38,91010,PAX,NLP,NLP,NLP,57,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,91010,PAX,NLP,NLP,NLP,57,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,91010,PAX,NLP,NLP,NLP,57,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,91010,PAX,NLP,NLP,NLP,57,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,91010,PAX,NLP,NLP,NLP,57,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,91010,PAX,NLP,NLP,NLP,57,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,91010,PAX,NLP,NLP,NLP,57,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,91010,PAX,NLP,NLP,NLP,57,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,91010,PAX,NLP,NLP,NLP,57,03/18/2022 12:00:00 AM
2022-03-23T08-41-43,91010,PAX,NLP,NLP,NLP,57,03/18/2022 12:00:00 AM
2022-03-24T07-49-11,91010,PAX,NLP,NLP,NLP,57,03/18/2022 12:00:00 AM
2022-03-24T13-46-29,91010,CVS Store #09788,NLP,NLP,NLP,19,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,91010,PAX,NLP,NLP,NLP,57,03/18/2022 12:00:00 AM
2022-03-25T08-10-53,91010,CVS Store #09788,NLP,NLP,NLP,19,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,91010,PAX,NLP,NLP,NLP,57,03/18/2022 12:00:00 AM
2022-03-26T06-57-27,91010,CVS Store #09788,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,91010,CVS Store #09788,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,91010,CVS Store #09788,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,91010,PAX,NLP,NLP,NLP,57,03/18/2022 12:00:00 AM
2022-03-28T06-21-17,91010,CVS Store #09788,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,91010,CVS Store #09788,NLP,NLP,NLP,19,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,91010,PAX,NLP,NLP,NLP,57,03/18/2022 12:00:00 AM
2022-03-30T09-27-07,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,200,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,91010,CVS Store #09788,NLP,NLP,NLP,19,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,91010,PAX,NLP,NLP,NLP,57,03/18/2022 12:00:00 AM
2022-03-31T08-53-07,91010,CVS Store #09788,NLP,NLP,NLP,19,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,200,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,91010,PAX,NLP,NLP,NLP,57,03/18/2022 12:00:00 AM
2022-03-31T15-09-22,91010,CVS Store #09788,NLP,NLP,NLP,19,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,200,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,91010,PAX,NLP,NLP,NLP,57,03/18/2022 12:00:00 AM
2022-04-01T06-54-45,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,200,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,91010,CVS Store #09788,NLP,NLP,NLP,19,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,91010,PAX,NLP,NLP,NLP,57,03/18/2022 12:00:00 AM
2022-04-02T06-05-59,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,200,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,91010,CVS Store #09788,NLP,NLP,NLP,19,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,91010,PAX,NLP,NLP,NLP,54,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,200,04/02/2022 12:00:00 AM
2022-04-03T05-51-54,91010,CVS Store #09788,NLP,NLP,NLP,19,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,91010,PAX,NLP,NLP,NLP,54,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,200,04/03/2022 12:00:00 AM
2022-04-04T05-38-24,91010,PAX,NLP,NLP,NLP,54,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,91010,CVS Store #09788,NLP,NLP,NLP,19,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,200,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,91010,PAX,NLP,NLP,NLP,54,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,91010,CVS Store #09788,NLP,NLP,NLP,19,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,91010,CVS Store #16100,NLP,NLP,NLP,40,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,200,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,91010,PAX,NLP,NLP,NLP,54,04/01/2022 12:00:00 AM
2022-04-06T05-45-18,91010,CVS Store #09788,NLP,NLP,NLP,19,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,91010,PAX,NLP,NLP,NLP,54,04/01/2022 12:00:00 AM
2022-04-07T05-34-07,91010,CVS Store #16100,NLP,NLP,NLP,40,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,91010,CVS Store #09788,NLP,NLP,NLP,19,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,198,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,91010,PAX,NLP,NLP,NLP,54,04/01/2022 12:00:00 AM
2022-04-08T05-48-29,91010,CITY OF HOPE NATIONAL MEDICAL CENTE,NLP,NLP,NLP,197,04/07/2022 12:00:00 AM
