2022-03-08T14-40-56,10075,LENOX HILL HOSPITAL,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,40,40,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,10075,LENOX HILL HOSPITAL,NLP,NLP,NLP,40,03/07/2022 12:00:00 AM
2022-03-18T11-17-38,10075,LENOX HILL HOSPITAL,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,10075,LENOX HILL HOSPITAL,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,10075,LENOX HILL HOSPITAL,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,10075,LENOX HILL HOSPITAL,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,10075,LENOX HILL HOSPITAL,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,10075,LENOX HILL HOSPITAL,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,10075,LENOX HILL HOSPITAL,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,10075,LENOX HILL HOSPITAL,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-22T09-16-18,10075,LENOX HILL HOSPITAL,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-23T08-41-43,10075,LENOX HILL HOSPITAL,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-24T07-49-11,10075,LENOX HILL HOSPITAL,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
