2022-02-02T09-09-05,60018,MAC RX LLC,02/01/2022 12:00:00 AM,,60,,
2022-03-03T09-56-49,60018,Sams Pharmacy #6464,02/25/2022 12:00:00 AM,,20,,
2022-03-03T10-04-44,60018,Sams Pharmacy #6464,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,20,1,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,60018,Sams Pharmacy #6464,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,20,1,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T09-58-11,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,03/17/2022 12:00:00 AM
2022-03-18T11-17-38,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,60018,Sams Pharmacy #6464,NLP,NLP,NLP,1,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,60018,Omnicare of N Illinois #48241,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
