2022-02-18T16-04-21,74006,JANE PHILLIPS MEDICAL CENTER,02/08/2022 12:00:00 AM,02/14/2022 12:00:00 AM,20,0,02/17/2022 12:00:00 AM
2022-03-03T09-56-49,74006,JANE PHILLIPS MEMORIAL MED CTR INC,02/22/2022 12:00:00 AM,02/25/2022 12:00:00 AM,20,40,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,74006,JANE PHILLIPS MEMORIAL MED CTR INC,02/22/2022 12:00:00 AM,02/25/2022 12:00:00 AM,20,39,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,74006,JANE PHILLIPS MEMORIAL MED CTR INC,02/22/2022 12:00:00 AM,02/25/2022 12:00:00 AM,20,39,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,74006,JANE PHILLIPS MEMORIAL MED CTR INC,NLP,NLP,NLP,39,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,74006,JANE PHILLIPS MEMORIAL MED CTR INC,NLP,NLP,NLP,39,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,74006,JANE PHILLIPS MEMORIAL MED CTR INC,NLP,NLP,NLP,39,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,74006,JANE PHILLIPS MEMORIAL MED CTR INC,NLP,NLP,NLP,39,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,74006,JANE PHILLIPS MEMORIAL MED CTR INC,NLP,NLP,NLP,39,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,74006,JANE PHILLIPS MEMORIAL MED CTR INC,NLP,NLP,NLP,39,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,74006,JANE PHILLIPS MEMORIAL MED CTR INC,NLP,NLP,NLP,39,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,74006,JANE PHILLIPS MEMORIAL MED CTR INC,NLP,NLP,NLP,39,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,74006,JANE PHILLIPS MEMORIAL MED CTR INC,NLP,NLP,NLP,39,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,74006,JANE PHILLIPS MEMORIAL MED CTR INC,NLP,NLP,NLP,39,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,74006,JANE PHILLIPS MEMORIAL MED CTR INC,NLP,NLP,NLP,39,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,74006,JANE PHILLIPS MEMORIAL MED CTR INC,NLP,NLP,NLP,39,03/21/2022 12:00:00 AM
