2022-03-03T09-56-49,39056,KROGER PHARMACY 02500474,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,20,,
2022-03-24T13-46-29,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-07T05-34-07,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,39056,CVS Store #10020,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,39056,CVS Store #10020,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,39056,CVS Store #10020,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,39056,CVS Store #10020,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,39056,CVS Store #10020,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,20,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,39056,CVS Store #10020,NLP,NLP,NLP,20,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,39056,CVS Store #10020,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
2022-04-13T11-55-39,39056,CVS Store #10020,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,39056,CVS Store #10020,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,39056,CVS Store #10020,NLP,NLP,NLP,20,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,20,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,39056,CVS Store #10020,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,39056,Walmart Pharmacy #1710,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
