2022-03-08T14-40-56,85008,Valleywise Health Medical Center,03/04/2022 12:00:00 AM,03/07/2022 12:00:00 AM,200,,
2022-03-23T08-41-43,85008,CVS Store #03500,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,85008,CVS Store #03500,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,85008,CVS Store #03500,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,85008,CVS Store #03500,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,85008,CVS Store #03500,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,85008,CVS Store #03500,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,85008,CVS Store #03500,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,85008,CVS Store #03500,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,85008,CVS Store #03500,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,85008,CVS Store #03500,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
