2022-02-18T16-04-21,28376,KAREN L SMITH MD PA,02/08/2022 12:00:00 AM,02/14/2022 12:00:00 AM,20,0,01/26/2022 12:00:00 AM
2022-03-29T08-50-48,28376,Walmart Pharmacy #5787,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,28376,Walmart Pharmacy #5787,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,28376,CVS Store #07313,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,28376,Walmart Pharmacy #5787,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-31T08-53-07,28376,CVS Store #07313,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,28376,Walmart Pharmacy #5787,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-31T15-09-22,28376,CVS Store #07313,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,28376,Walmart Pharmacy #5787,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-01T06-54-45,28376,CVS Store #07313,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,28376,Walmart Pharmacy #5787,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-02T06-05-59,28376,CVS Store #07313,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,28376,Walmart Pharmacy #5787,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-03T05-51-54,28376,CVS Store #07313,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,28376,Walmart Pharmacy #5787,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-04T05-38-24,28376,CVS Store #07313,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,28376,Walmart Pharmacy #5787,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-05T05-48-33,28376,KAREN L SMITH MD PA,NLP,NLP,NLP,0,01/26/2022 12:00:00 AM
2022-04-05T05-48-33,28376,CVS Store #07313,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,28376,KAREN L SMITH MD PA,NLP,NLP,NLP,0,01/26/2022 12:00:00 AM
2022-04-06T05-45-18,28376,Walmart Pharmacy #5787,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-06T05-45-18,28376,CVS Store #07313,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,28376,Walmart Pharmacy #5787,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-07T05-34-07,28376,KAREN L SMITH MD PA,NLP,NLP,NLP,0,01/26/2022 12:00:00 AM
2022-04-07T05-34-07,28376,CVS Store #07313,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
