2022-03-08T14-40-56,62995,BODE DRUG VIENNA,03/01/2022 12:00:00 AM,03/04/2022 12:00:00 AM,20,20,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,62995,BODE DRUG VIENNA,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,62995,BODE DRUG VIENNA,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,62995,BODE DRUG VIENNA,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,62995,BODE DRUG VIENNA,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,62995,BODE DRUG VIENNA,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,62995,BODE DRUG VIENNA,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,62995,BODE DRUG VIENNA,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,62995,BODE DRUG VIENNA,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,62995,BODE DRUG VIENNA,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,62995,BODE DRUG VIENNA,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,62995,BODE DRUG VIENNA,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-22T09-16-18,62995,BODE DRUG VIENNA,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,62995,BODE DRUG VIENNA,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
