2022-02-18T16-04-21,54971,Ripon Drug Pharmacy,02/11/2022 12:00:00 AM,02/15/2022 12:00:00 AM,20,0,02/15/2022 12:00:00 AM
2022-04-01T06-54-45,54971,Walgreens Store #01164,NLP,NLP,NLP,40,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,54971,Walgreens Store #01164,NLP,NLP,NLP,39,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,54971,Walgreens Store #01164,NLP,NLP,NLP,39,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,54971,Walgreens Store #01164,NLP,NLP,NLP,39,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,54971,Walgreens Store #01164,NLP,NLP,NLP,39,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,54971,Walgreens Store #01164,NLP,NLP,NLP,39,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,54971,Walgreens Store #01164,NLP,NLP,NLP,39,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,54971,Walgreens Store #01164,NLP,NLP,NLP,39,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,54971,Walgreens Store #01164,NLP,NLP,NLP,39,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,54971,Walgreens Store #01164,NLP,NLP,NLP,39,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,54971,Walgreens Store #01164,NLP,NLP,NLP,39,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,54971,Walgreens Store #01164,NLP,NLP,NLP,38,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,54971,Walgreens Store #01164,NLP,NLP,NLP,38,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,54971,Walgreens Store #01164,NLP,NLP,NLP,38,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,54971,Walgreens Store #01164,NLP,NLP,NLP,38,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,54971,Walgreens Store #01164,NLP,NLP,NLP,38,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,54971,Walgreens Store #01164,NLP,NLP,NLP,37,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,54971,Walgreens Store #01164,NLP,NLP,NLP,37,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,54971,Walgreens Store #01164,NLP,NLP,NLP,37,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,54971,Walgreens Store #01164,NLP,NLP,NLP,37,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,54971,Walgreens Store #01164,NLP,NLP,NLP,37,04/18/2022 12:00:00 AM
2022-04-21T05-29-54,54971,Walgreens Store #01164,NLP,NLP,NLP,35,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,54971,Walgreens Store #01164,NLP,NLP,NLP,35,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,54971,Walgreens Store #01164,NLP,NLP,NLP,34,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,54971,Walgreens Store #01164,NLP,NLP,NLP,34,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,54971,Walgreens Store #01164,NLP,NLP,NLP,34,04/22/2022 12:00:00 AM
