2022-03-08T14-40-56,12308,Ellis Hospital,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,40,40,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,12308,Ellis Hospital,NLP,NLP,NLP,40,03/08/2022 12:00:00 AM
2022-03-18T09-58-11,12308,Ellis Hospital,NLP,NLP,NLP,40,03/14/2022 12:00:00 AM
2022-03-18T09-58-11,12308,CVS Store #05035,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,12308,Ellis Hospital,NLP,NLP,NLP,40,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,12308,CVS Store #05035,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,12308,Ellis Hospital,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-18T11-17-38,12308,CVS Store #05035,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,12308,Ellis Hospital,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,12308,CVS Store #05035,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,12308,CVS Store #05035,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-19T08-15-59,12308,Ellis Hospital,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,12308,CVS Store #05035,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,12308,Ellis Hospital,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,12308,CVS Store #05035,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,12308,Ellis Hospital,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,12308,CVS Store #05035,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,12308,Ellis Hospital,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,12308,CVS Store #05035,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,12308,Ellis Hospital,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,12308,Ellis Hospital,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,12308,CVS Store #05035,NLP,NLP,NLP,19,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,12308,CVS Store #05035,NLP,NLP,NLP,19,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,12308,Ellis Hospital,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-23T08-41-43,12308,Ellis Hospital,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-23T08-41-43,12308,Walgreens Store #17264,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,12308,CVS Store #05035,NLP,NLP,NLP,18,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,12308,Ellis Hospital,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-24T07-49-11,12308,Walgreens Store #17264,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,12308,CVS Store #05035,NLP,NLP,NLP,18,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,12308,Ellis Hospital,NLP,NLP,NLP,40,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,12308,Walgreens Store #17264,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,12308,CVS Store #05035,NLP,NLP,NLP,18,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,12308,CVS Store #05035,NLP,NLP,NLP,18,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,12308,Walgreens Store #17264,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,12308,Ellis Hospital,NLP,NLP,NLP,40,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,12308,Ellis Hospital,NLP,NLP,NLP,40,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,12308,Walgreens Store #17264,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,12308,CVS Store #05035,NLP,NLP,NLP,18,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,12308,Walgreens Store #17264,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,12308,Ellis Hospital,NLP,NLP,NLP,40,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,12308,CVS Store #05035,NLP,NLP,NLP,18,03/25/2022 12:00:00 AM
