2022-03-08T14-40-56,61036,HARTIG DRUG COMPANY,03/01/2022 12:00:00 AM,03/04/2022 12:00:00 AM,20,,
2022-03-16T18-51-35,61036,HARTIG DRUG COMPANY,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-03-21T16-35-27,61036,Walmart Pharmacy #5044,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,61036,Walmart Pharmacy #5044,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,61036,Walmart Pharmacy #5044,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,61036,Walmart Pharmacy #5044,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,61036,Walmart Pharmacy #5044,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,61036,Walmart Pharmacy #5044,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,61036,Walmart Pharmacy #5044,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,61036,Walmart Pharmacy #5044,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,61036,Walmart Pharmacy #5044,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,61036,Walmart Pharmacy #5044,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
