2022-02-18T16-04-21,40503,BAPTIST HEALTH LEXINGTON,02/09/2022 12:00:00 AM,02/11/2022 12:00:00 AM,20,0,01/14/2022 12:00:00 AM
2022-03-16T18-51-35,40503,BAPTIST HEALTH LEXINGTON,NLP,NLP,NLP,20,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,40503,BAPTIST HEALTH LEXINGTON,NLP,NLP,NLP,20,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,40503,BAPTIST HEALTH LEXINGTON,NLP,NLP,NLP,20,03/09/2022 12:00:00 AM
2022-03-23T08-41-43,40503,Walgreens Store #10206,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,40503,Walgreens Store #10206,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,40503,Walgreens Store #10206,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,40503,Walgreens Store #10206,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,40503,CVS Store #06940,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,40503,CVS Store #06940,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,40503,Walgreens Store #10206,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
