2022-03-08T14-40-56,12180,SAMARITAN HOSP PURCHASING,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,40,,
2022-03-16T18-51-35,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,40,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,40,03/10/2022 12:00:00 AM
2022-03-18T11-03-37,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,40,03/10/2022 12:00:00 AM
2022-03-23T08-41-43,12180,Walgreens Store #10548,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,12180,Rite Aid 10687,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,12180,Walgreens Store #10548,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,12180,Rite Aid 10687,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,12180,Rite Aid 10687,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,12180,Walgreens Store #10548,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,12180,Walgreens Store #10548,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,12180,Rite Aid 10687,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,19,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,12180,Rite Aid 10687,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,12180,Walgreens Store #10548,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,12180,Rite Aid 10687,NLP,NLP,NLP,20,03/26/2022 12:00:00 AM
2022-03-26T12-42-50,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,12180,Walgreens Store #10548,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,12180,Rite Aid 10687,NLP,NLP,NLP,20,03/26/2022 12:00:00 AM
2022-03-27T06-25-27,12180,Walgreens Store #10548,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,12180,Walmart Pharmacy #2370,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,12180,Rite Aid 10687,NLP,NLP,NLP,20,03/27/2022 12:00:00 AM
2022-03-28T06-21-17,12180,Walgreens Store #10548,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,12180,Rite Aid 10687,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
