2022-02-18T16-04-21,95825,Kaiser Sacramento Discharge Pharm,02/11/2022 12:00:00 AM,02/15/2022 12:00:00 AM,100,0,02/15/2022 12:00:00 AM
2022-03-03T10-04-44,95825,Rite Aid 06080,03/02/2022 12:00:00 AM,,20,,
2022-03-08T14-40-56,95825,Rite Aid 06080,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,20,20,03/08/2022 12:00:00 AM
2022-03-08T14-40-56,95825,Walgreens Store #06193,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,20,4,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,95825,Rite Aid 06080,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-16T18-51-35,95825,Walgreens Store #06193,NLP,NLP,NLP,4,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,95825,Walgreens Store #06193,NLP,NLP,NLP,4,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,95825,Walgreens Store #06193,NLP,NLP,NLP,4,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,95825,Rite Aid 06080,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T11-17-38,95825,Walgreens Store #06193,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,95825,Rite Aid 06080,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,95825,Walgreens Store #06193,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
