2022-03-08T14-40-56,14606,Strong Memorial Hospital,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,40,40,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,14606,Strong Memorial Hospital,NLP,NLP,NLP,40,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,14606,Strong Memorial Hospital,NLP,NLP,NLP,39,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,14606,Strong Memorial Hospital,NLP,NLP,NLP,39,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,14606,Strong Memorial Hospital,NLP,NLP,NLP,39,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,14606,Strong Memorial Hospital,NLP,NLP,NLP,39,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,14606,Strong Memorial Hospital,NLP,NLP,NLP,39,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,14606,Strong Memorial Hospital,NLP,NLP,NLP,38,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,14606,Strong Memorial Hospital,NLP,NLP,NLP,38,03/19/2022 12:00:00 AM
2022-03-21T06-11-50,14606,Strong Memorial Hospital,NLP,NLP,NLP,38,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,14606,Strong Memorial Hospital,NLP,NLP,NLP,38,03/20/2022 12:00:00 AM
2022-03-21T16-35-27,14606,Strong Memorial Hospital,NLP,NLP,NLP,38,03/20/2022 12:00:00 AM
2022-03-22T09-16-18,14606,Strong Memorial Hospital,NLP,NLP,NLP,38,03/20/2022 12:00:00 AM
2022-03-23T08-41-43,14606,Walgreens Store #19354,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,14606,Strong Memorial Hospital,NLP,NLP,NLP,38,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,14606,Walgreens Store #19354,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,14606,Strong Memorial Hospital,NLP,NLP,NLP,38,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,14606,Walgreens Store #19354,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,14606,Strong Memorial Hospital,NLP,NLP,NLP,36,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,14606,CVS Store #00586,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,14606,Walgreens Store #09585,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,14606,CVS Store #00586,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,14606,Walgreens Store #19354,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,14606,Strong Memorial Hospital,NLP,NLP,NLP,36,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,14606,Walgreens Store #19354,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,14606,Walgreens Store #09585,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,14606,CVS Store #00586,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,14606,Strong Memorial Hospital,NLP,NLP,NLP,35,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,14606,Walgreens Store #09585,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,14606,Walgreens Store #19354,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,14606,Strong Memorial Hospital,NLP,NLP,NLP,35,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,14606,CVS Store #00586,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,14606,Walgreens Store #09585,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,14606,Walgreens Store #19354,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,14606,Strong Memorial Hospital,NLP,NLP,NLP,35,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,14606,CVS Store #00586,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,14606,Strong Memorial Hospital,NLP,NLP,NLP,35,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,14606,Walgreens Store #19354,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,14606,Walgreens Store #09585,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,14606,CVS Store #00586,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,14606,Walgreens Store #09585,NLP,NLP,NLP,19,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,14606,Strong Memorial Hospital,NLP,NLP,NLP,34,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,14606,Walgreens Store #19354,NLP,NLP,NLP,19,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,14606,CVS Store #00586,NLP,NLP,NLP,19,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,14606,CVS Store #00586,NLP,NLP,NLP,19,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,14606,Strong Memorial Hospital,NLP,NLP,NLP,34,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,14606,Walgreens Store #09585,NLP,NLP,NLP,19,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,14606,Walgreens Store #19354,NLP,NLP,NLP,19,03/29/2022 12:00:00 AM
