2022-02-16T08-23-53,91901,SOUTHERN INDIAN HEALTH COUNCIL,,,0,5,02/15/2022 12:00:00 AM
2022-03-03T10-04-44,91901,CVS Store #03025,03/01/2022 12:00:00 AM,,20,,
2022-03-03T10-04-44,91901,Rite Aid 06225,03/02/2022 12:00:00 AM,,20,,
2022-03-08T14-40-56,91901,Rite Aid 06225,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,20,20,03/08/2022 12:00:00 AM
2022-03-08T14-40-56,91901,CVS Store #03025,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,20,,
2022-03-18T11-17-38,91901,Rite Aid 06225,NLP,NLP,NLP,19,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,91901,Rite Aid 06225,NLP,NLP,NLP,19,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,91901,Rite Aid 06225,NLP,NLP,NLP,19,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,91901,Rite Aid 06225,NLP,NLP,NLP,19,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,91901,Rite Aid 06225,NLP,NLP,NLP,19,03/19/2022 12:00:00 AM
2022-03-21T06-11-50,91901,Rite Aid 06225,NLP,NLP,NLP,19,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,91901,Rite Aid 06225,NLP,NLP,NLP,19,03/20/2022 12:00:00 AM
2022-03-21T16-35-27,91901,Rite Aid 06225,NLP,NLP,NLP,19,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,91901,Rite Aid 06225,NLP,NLP,NLP,19,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,91901,Rite Aid 06225,NLP,NLP,NLP,19,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,91901,CVS Store #03025,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,91901,Rite Aid 06225,NLP,NLP,NLP,19,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,91901,CVS Store #03025,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,91901,Rite Aid 06225,NLP,NLP,NLP,19,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,91901,CVS Store #03025,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,91901,Rite Aid 06225,NLP,NLP,NLP,19,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,91901,CVS Store #03025,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,91901,Rite Aid 06225,NLP,NLP,NLP,18,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,91901,CVS Store #03025,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
