2022-03-08T14-40-56,80107,SAFEWAY PHARMACY,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,20,20,03/07/2022 12:00:00 AM
2022-03-27T06-25-27,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/26/2022 12:00:00 AM
2022-03-27T06-25-27,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/27/2022 12:00:00 AM
2022-03-29T08-50-48,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,19,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,19,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,19,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,19,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,19,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,19,04/02/2022 12:00:00 AM
2022-04-03T05-51-54,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,19,04/03/2022 12:00:00 AM
2022-04-04T05-38-24,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,19,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,19,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,19,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,19,04/09/2022 12:00:00 AM
2022-04-11T07-06-23,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,19,04/10/2022 12:00:00 AM
2022-04-12T07-06-55,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,19,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,19,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
2022-04-13T11-55-39,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,19,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,19,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,19,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,19,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,19,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,19,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,19,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,18,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,18,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,18,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,18,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,18,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,18,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,18,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,18,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,04/27/2022 12:00:00 AM
2022-04-28T09-22-45,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,18,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,04/28/2022 12:00:00 AM
2022-04-29T05-13-54,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,18,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,19,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,19,05/01/2022 12:00:00 AM
2022-05-02T06-02-50,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,19,05/01/2022 12:00:00 AM
2022-05-03T06-05-23,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,05/02/2022 12:00:00 AM
2022-05-03T06-05-23,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,19,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,19,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,20,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,19,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,19,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,19,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,19,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,19,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,19,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,19,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,19,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,19,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,19,05/09/2022 12:00:00 AM
2022-05-10T06-06-54,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,19,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,19,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,19,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,18,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,19,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,18,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,19,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,18,05/12/2022 12:00:00 AM
2022-05-15T05-54-13,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,19,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,18,05/12/2022 12:00:00 AM
2022-05-16T05-54-24,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,19,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,18,05/12/2022 12:00:00 AM
2022-05-17T05-27-38,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,19,05/16/2022 12:00:00 AM
2022-05-17T05-27-38,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,18,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-18T05-40-23,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,18,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,18,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,19,05/17/2022 12:00:00 AM
2022-05-20T05-59-40,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,18,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,18,05/20/2022 12:00:00 AM
2022-05-21T05-54-21,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,18,05/19/2022 12:00:00 AM
2022-05-22T09-07-10,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,18,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,15,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,18,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,15,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,18,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,15,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,18,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,15,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,18,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,15,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,18,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,15,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,18,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,15,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,18,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,15,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,18,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,15,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,18,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,15,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,18,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,15,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,18,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,15,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,18,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,15,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,18,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,15,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,18,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,15,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,18,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,15,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,18,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,15,05/21/2022 12:00:00 AM
2022-05-24T05-46-03,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,18,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,13,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,18,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,13,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,18,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,13,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,18,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,13,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,18,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,13,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,18,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,13,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,18,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,13,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,80107,Walmart Pharmacy #4639,NLP,NLP,NLP,18,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,80107,SAFEWAY PHARMACY,NLP,NLP,NLP,13,05/23/2022 12:00:00 AM
