2022-03-03T09-56-49,33024,Memorial Hospital Pembroke Pharmacy,02/21/2022 12:00:00 AM,02/24/2022 12:00:00 AM,40,40,02/28/2022 12:00:00 AM
2022-03-08T14-40-56,33024,Bradys Pharmacy,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,40,40,03/08/2022 12:00:00 AM
2022-03-08T14-40-56,33024,SEMINOLE CLINIC - HOLLYWOOD,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,20,20,03/04/2022 12:00:00 AM
2022-03-08T14-40-56,33024,Walgreens Store #07322,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,20,18,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,33024,Bradys Pharmacy,NLP,NLP,NLP,40,03/11/2022 12:00:00 AM
2022-03-16T18-51-35,33024,Walgreens Store #07322,NLP,NLP,NLP,18,03/11/2022 12:00:00 AM
2022-03-16T18-51-35,33024,SEMINOLE CLINIC - HOLLYWOOD,NLP,NLP,NLP,19,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,33024,Walgreens Store #07322,NLP,NLP,NLP,18,03/15/2022 12:00:00 AM
2022-03-18T09-58-11,33024,SEMINOLE CLINIC - HOLLYWOOD,NLP,NLP,NLP,19,03/14/2022 12:00:00 AM
2022-03-18T09-58-11,33024,Bradys Pharmacy,NLP,NLP,NLP,40,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,33024,Walgreens Store #07322,NLP,NLP,NLP,18,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,33024,SEMINOLE CLINIC - HOLLYWOOD,NLP,NLP,NLP,19,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,33024,Bradys Pharmacy,NLP,NLP,NLP,40,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,33024,Walgreens Store #07322,NLP,NLP,NLP,18,03/17/2022 12:00:00 AM
2022-03-18T11-17-38,33024,SEMINOLE CLINIC - HOLLYWOOD,NLP,NLP,NLP,19,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,33024,Bradys Pharmacy,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,33024,Walgreens Store #07322,NLP,NLP,NLP,18,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,33024,Bradys Pharmacy,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,33024,SEMINOLE CLINIC - HOLLYWOOD,NLP,NLP,NLP,19,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,33024,Walgreens Store #07322,NLP,NLP,NLP,18,03/18/2022 12:00:00 AM
