2022-03-08T14-40-56,73448,MERCY HEALTH LOVE COUNTY - RHC,02/22/2022 12:00:00 AM,02/25/2022 12:00:00 AM,20,20,03/03/2022 12:00:00 AM
2022-03-16T18-51-35,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T11-03-37,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T11-17-38,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,73448,MERCY HEALTH LOVE COUNTY - RHC,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
