2022-03-08T14-40-56,61074,HARTIG DRUG 29,03/01/2022 12:00:00 AM,03/04/2022 12:00:00 AM,20,,
2022-03-16T18-51-35,61074,HARTIG DRUG 29,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-03-29T08-50-48,61074,HARTIG DRUG 29,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-03-30T09-27-07,61074,HARTIG DRUG 29,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-03-31T08-53-07,61074,HARTIG DRUG 29,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-03-31T15-09-22,61074,HARTIG DRUG 29,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-04-01T06-54-45,61074,HARTIG DRUG 29,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-04-02T06-05-59,61074,HARTIG DRUG 29,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-04-03T05-51-54,61074,HARTIG DRUG 29,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-04-04T05-38-24,61074,HARTIG DRUG 29,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-04-05T05-48-33,61074,HARTIG DRUG 29,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-04-06T05-45-18,61074,HARTIG DRUG 29,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-04-07T05-34-07,61074,HARTIG DRUG 29,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-04-08T05-48-29,61074,HARTIG DRUG 29,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-04-09T05-41-09,61074,HARTIG DRUG 29,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-04-10T09-31-27,61074,HARTIG DRUG 29,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-04-11T07-06-23,61074,HARTIG DRUG 29,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-04-12T07-06-55,61074,HARTIG DRUG 29,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-04-13T09-20-57,61074,HARTIG DRUG 29,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-04-13T11-55-39,61074,HARTIG DRUG 29,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-04-14T09-18-06,61074,HARTIG DRUG 29,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-04-15T06-03-51,61074,HARTIG DRUG 29,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-04-16T05-33-42,61074,HARTIG DRUG 29,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-04-17T05-32-24,61074,HARTIG DRUG 29,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-04-18T05-31-10,61074,HARTIG DRUG 29,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-04-19T05-39-24,61074,HARTIG DRUG 29,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-04-20T05-27-37,61074,HARTIG DRUG 29,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-04-21T05-29-54,61074,HARTIG DRUG 29,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-04-22T05-26-18,61074,HARTIG DRUG 29,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-04-23T05-25-10,61074,HARTIG DRUG 29,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-04-24T05-22-24,61074,HARTIG DRUG 29,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-04-25T05-22-33,61074,HARTIG DRUG 29,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-04-26T05-20-54,61074,HARTIG DRUG 29,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-04-27T05-23-49,61074,HARTIG DRUG 29,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-04-28T09-22-45,61074,HARTIG DRUG 29,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-04-29T05-13-54,61074,HARTIG DRUG 29,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-04-30T05-15-55,61074,HARTIG DRUG 29,NLP,NLP,NLP,20,03/08/2022 12:00:00 AM
2022-05-12T07-16-49,61074,HARTIG DRUG 29,NLP,NLP,NLP,16,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,61074,HARTIG DRUG 29,NLP,NLP,NLP,16,05/11/2022 12:00:00 AM
2022-05-14T08-49-14,61074,HARTIG DRUG 29,NLP,NLP,NLP,16,05/11/2022 12:00:00 AM
2022-05-15T05-54-13,61074,HARTIG DRUG 29,NLP,NLP,NLP,16,05/11/2022 12:00:00 AM
2022-05-16T05-54-24,61074,HARTIG DRUG 29,NLP,NLP,NLP,16,05/11/2022 12:00:00 AM
2022-05-17T05-27-38,61074,HARTIG DRUG 29,NLP,NLP,NLP,16,05/11/2022 12:00:00 AM
2022-05-18T05-40-23,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-20T05-59-40,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-21T05-54-21,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-22T09-07-10,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-23T07-42-39,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-24T05-46-03,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-25T05-39-27,61074,HARTIG DRUG 29,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
