2022-01-03T16-32-58,27502,APEX PHARMACY,12/27/2021 12:00:00 AM,,0,,
2022-02-16T18-37-01,27502,APEX PHARMACY,02/11/2022 12:00:00 AM,02/15/2022 12:00:00 AM,20,,
2022-02-18T15-54-16,27502,APEX PHARMACY,02/11/2022 12:00:00 AM,02/15/2022 12:00:00 AM,20,,
2022-02-18T16-04-21,27502,APEX PHARMACY,02/11/2022 12:00:00 AM,02/15/2022 12:00:00 AM,20,,
2022-02-22T09-09-37,27502,APEX PHARMACY,02/11/2022 12:00:00 AM,02/15/2022 12:00:00 AM,20,,
2022-02-24T09-51-18,27502,APEX PHARMACY,02/11/2022 12:00:00 AM,02/15/2022 12:00:00 AM,20,,
2022-03-03T09-56-49,27502,APEX PHARMACY,02/11/2022 12:00:00 AM,02/15/2022 12:00:00 AM,20,,
2022-03-03T09-56-49,27502,Walgreens Store #07365,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,20,20,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,27502,APEX PHARMACY,02/11/2022 12:00:00 AM,02/15/2022 12:00:00 AM,20,,
2022-03-03T10-04-44,27502,Walgreens Store #07365,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,20,20,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,27502,APEX PHARMACY,02/11/2022 12:00:00 AM,02/15/2022 12:00:00 AM,20,,
2022-03-08T14-40-56,27502,Walgreens Store #07365,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,20,20,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,27502,Walgreens Store #07365,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,27502,Walgreens Store #07365,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,27502,Walgreens Store #07365,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,27502,Walgreens Store #07365,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,27502,Walgreens Store #07365,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,27502,Walgreens Store #07365,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,27502,Walgreens Store #07365,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,27502,Walgreens Store #07365,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,27502,Walgreens Store #07365,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,27502,Walgreens Store #07365,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,27502,Walgreens Store #07365,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,27502,Walgreens Store #07365,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-23T08-41-43,27502,Walgreens Store #07365,NLP,NLP,NLP,19,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,27502,Walgreens Store #07365,NLP,NLP,NLP,19,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,27502,Walgreens Store #07365,NLP,NLP,NLP,19,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,27502,Walgreens Store #07365,NLP,NLP,NLP,18,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,27502,CVS Store #17050,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,27502,Walgreens Store #07365,NLP,NLP,NLP,18,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,27502,CVS Store #17050,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,27502,Walgreens Store #07365,NLP,NLP,NLP,18,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,27502,CVS Store #17050,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,27502,Walgreens Store #07365,NLP,NLP,NLP,18,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,27502,CVS Store #17050,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,27502,Walgreens Store #07365,NLP,NLP,NLP,18,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,27502,CVS Store #17050,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,27502,Walgreens Store #07365,NLP,NLP,NLP,18,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,27502,CVS Store #17050,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,27502,Walgreens Store #07365,NLP,NLP,NLP,18,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,27502,CVS Store #17050,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
