2022-03-08T14-40-56,19902,436th Medical Group,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,20,,
2022-04-05T05-48-33,19902,436th Medical Group,NLP,NLP,NLP,,
2022-04-06T05-45-18,19902,436th Medical Group,NLP,NLP,NLP,,
2022-04-07T05-34-07,19902,436th Medical Group,NLP,NLP,NLP,,
2022-04-08T05-48-29,19902,436th Medical Group,NLP,NLP,NLP,,
2022-04-09T05-41-09,19902,436th Medical Group,NLP,NLP,NLP,,
2022-04-10T09-31-27,19902,436th Medical Group,NLP,NLP,NLP,,
2022-04-11T07-06-23,19902,436th Medical Group,NLP,NLP,NLP,,
2022-04-12T07-06-55,19902,436th Medical Group,NLP,NLP,NLP,,
2022-04-13T09-20-57,19902,436th Medical Group,NLP,NLP,NLP,,
2022-04-13T11-55-39,19902,436th Medical Group,NLP,NLP,NLP,,
2022-04-14T09-18-06,19902,436th Medical Group,NLP,NLP,NLP,,
2022-04-15T06-03-51,19902,436th Medical Group,NLP,NLP,NLP,,
