2022-02-16T08-23-53,35243,FLEXCARE INFUSION CENTER,02/15/2022 12:00:00 AM,,0,,02/15/2022 12:00:00 AM
2022-03-30T09-27-07,35243,CVS Store #04874,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,35243,CVS Store #04874,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,35243,CVS Store #04851,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,35243,CVS Store #04851,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,35243,CVS Store #04874,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,35243,CVS Store #04851,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,35243,CVS Store #04874,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,35243,CVS Store #04851,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,35243,CVS Store #04874,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,35243,CVS Store #04851,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,35243,CVS Store #04874,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,35243,CVS Store #04851,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,35243,CVS Store #04874,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,35243,CVS Store #04874,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,35243,CVS Store #04851,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,35243,CVS Store #04851,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,35243,CVS Store #04874,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,35243,CVS Store #04851,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,35243,CVS Store #04874,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,35243,CVS Store #04851,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,35243,CVS Store #04874,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,35243,CVS Store #04851,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,35243,CVS Store #04874,NLP,NLP,NLP,20,04/08/2022 12:00:00 AM
