2022-03-08T14-40-56,33603,Choice Pharmacy Inc,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,40,40,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,33603,Choice Pharmacy Inc,NLP,NLP,NLP,40,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,33603,Choice Pharmacy Inc,NLP,NLP,NLP,40,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,33603,Choice Pharmacy Inc,NLP,NLP,NLP,40,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,33603,Choice Pharmacy Inc,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,33603,Choice Pharmacy Inc,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,33603,Choice Pharmacy Inc,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,33603,Choice Pharmacy Inc,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,33603,Choice Pharmacy Inc,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,33603,Choice Pharmacy Inc,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,33603,Choice Pharmacy Inc,NLP,NLP,NLP,40,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,33603,Choice Pharmacy Inc,NLP,NLP,NLP,40,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,33603,Choice Pharmacy Inc,NLP,NLP,NLP,40,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,33603,Choice Pharmacy Inc,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,33603,Choice Pharmacy Inc,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,33603,CVS Store #03650,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,33603,Choice Pharmacy Inc,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,33603,CVS Store #03650,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,33603,Choice Pharmacy Inc,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,33603,CVS Store #03650,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,33603,Choice Pharmacy Inc,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,33603,Choice Pharmacy Inc,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,33603,CVS Store #03650,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,33603,Choice Pharmacy Inc,NLP,NLP,NLP,40,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,33603,CVS Store #03650,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
