2022-04-08T05-48-29,65265,NOBLE HEALTH - AUDRAIN COMM HOSP,NLP,NLP,NLP,149,03/15/2022 12:00:00 AM
2022-05-06T06-12-41,65265,Walgreens Store #10587,NLP,NLP,NLP,24,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,65265,Walmart Pharmacy #25,NLP,NLP,NLP,24,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,65265,Walgreens Store #10587,NLP,NLP,NLP,24,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,65265,Walmart Pharmacy #25,NLP,NLP,NLP,24,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,65265,Walgreens Store #10587,NLP,NLP,NLP,24,05/05/2022 12:00:00 AM
2022-05-08T10-02-59,65265,Walmart Pharmacy #25,NLP,NLP,NLP,24,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,65265,Walgreens Store #10587,NLP,NLP,NLP,24,05/05/2022 12:00:00 AM
2022-05-09T05-08-14,65265,Walmart Pharmacy #25,NLP,NLP,NLP,24,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,65265,Walgreens Store #10587,NLP,NLP,NLP,24,05/05/2022 12:00:00 AM
2022-05-10T06-06-54,65265,Walmart Pharmacy #25,NLP,NLP,NLP,24,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,65265,Walgreens Store #10587,NLP,NLP,NLP,24,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,65265,Walmart Pharmacy #25,NLP,NLP,NLP,24,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,65265,Walgreens Store #10587,NLP,NLP,NLP,20,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,65265,Walmart Pharmacy #25,NLP,NLP,NLP,24,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,65265,Walgreens Store #10587,NLP,NLP,NLP,20,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,65265,Walmart Pharmacy #25,NLP,NLP,NLP,24,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,65265,Walgreens Store #10587,NLP,NLP,NLP,20,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,65265,Walmart Pharmacy #25,NLP,NLP,NLP,24,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,65265,Walgreens Store #10587,NLP,NLP,NLP,20,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,65265,Walmart Pharmacy #25,NLP,NLP,NLP,24,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,65265,Walgreens Store #10587,NLP,NLP,NLP,20,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,65265,Walmart Pharmacy #25,NLP,NLP,NLP,24,05/13/2022 12:00:00 AM
