provider_name,address1,address2,city,county,state_code,zip,national_drug_code,order_label,courses_available,geocoded_address,npi,last_report_date,provider_status,provider_note
Iliuliuk Family and Health Services,34 Lavelle Ct,,Unalaska,Aleutians West,AK,99685,00006-5055-06,Lagevrio (molnupiravir),40.0,POINT (-166.538829 53.872514),1609313816.0,2022-04-12T00:00:00.000,ACTIVE,
BEACON OHSS INC,701 E TUDOR RD,STE 110,Anchorage,Anchorage,AK,99503,00006-5055-06,Lagevrio (molnupiravir),18.0,POINT (-149.87097 61.181),1003803222.0,2022-04-13T00:00:00.000,ACTIVE,
CARRS PHARMACY,5600 DEBARR RD,,Anchorage,Anchorage,AK,99504,00006-5055-06,Lagevrio (molnupiravir),35.0,POINT (-149.776795 61.208445),1104855147.0,2022-04-13T00:00:00.000,ACTIVE,
CARRS PHARMACY,2920 SEWARD HWY,,Anchorage,Anchorage,AK,99503,00006-5055-06,Lagevrio (molnupiravir),17.0,POINT (-149.87058 61.19385),1265084933.0,2022-04-13T00:00:00.000,ACTIVE,
CARRS PHARMACY,1725 ABBOTT ROAD,,Anchorage,Anchorage,AK,99507,00006-5055-06,Lagevrio (molnupiravir),39.0,POINT (-149.84438 61.14232),1295764231.0,2022-04-13T00:00:00.000,ACTIVE,
CARRS PHARMACY,1650 W NORTHERN LIGHTS BLVD,,Anchorage,Anchorage,AK,99517,00006-5055-06,Lagevrio (molnupiravir),39.0,POINT (-149.91553 61.19451),1578592515.0,2022-04-13T00:00:00.000,ACTIVE,
CARRS PHARMACY,1501 HUFFMAN RD,,Anchorage,Anchorage,AK,99515,00006-5055-06,Lagevrio (molnupiravir),38.0,POINT (-149.85457 61.10971),1659300697.0,2022-04-13T00:00:00.000,ACTIVE,
CARRS PHARMACY,4000 W DIMOND BLVD,,Anchorage,Anchorage,AK,99502,00006-5055-06,Lagevrio (molnupiravir),20.0,POINT (-149.95605 61.13725),1740219781.0,2022-04-13T00:00:00.000,ACTIVE,
CARRS PHARMACY,7731 E NORTHERN LIGHTS BLVD,,Anchorage,Anchorage,AK,99504,00006-5055-06,Lagevrio (molnupiravir),40.0,POINT (-149.73726 61.1954),1588695399.0,2022-04-13T00:00:00.000,ACTIVE,
CVS Store #17435,1200 N MULDOON RD,CVS Pharmacy,Anchorage,Anchorage,AK,99504,00006-5055-06,Lagevrio (molnupiravir),24.0,POINT (-149.746075 61.226485),1942458849.0,2022-04-13T00:00:00.000,ACTIVE,
Credena Health Pharmacy Anchorage,"3300 Providence Dr, Suite 101",,Anchorage,Anchorage,AK,99508,00006-5055-06,Lagevrio (molnupiravir),20.0,POINT (-149.81907 61.18857),1760483556.0,2022-04-13T00:00:00.000,ACTIVE,
FRED MEYER PHARMACY 70100011,1000 E NORTHERN LIGHTS BLVD,,Anchorage,Anchorage,AK,99508,00006-5055-06,Lagevrio (molnupiravir),71.0,POINT (-149.86498 61.19513),1518903475.0,2022-04-13T00:00:00.000,ACTIVE,
FRED MEYER PHARMACY 70100018,7701 DEBARR RD,STE A,Anchorage,Anchorage,AK,99504,00006-5055-06,Lagevrio (molnupiravir),72.0,POINT (-149.73673 61.21103),1417993965.0,2022-04-13T00:00:00.000,ACTIVE,
FRED MEYER PHARMACY 70100071,2000 W DIMOND BLVD,STE C,Anchorage,Anchorage,AK,99515,00006-5055-06,Lagevrio (molnupiravir),72.0,POINT (-149.91978 61.13724),1467497537.0,2022-04-13T00:00:00.000,ACTIVE,
FRED MEYER PHARMACY 70100656,2300 ABBOTT RD,,Anchorage,Anchorage,AK,99507,00006-5055-06,Lagevrio (molnupiravir),72.0,POINT (-149.8377 61.13613),1104861632.0,2022-04-13T00:00:00.000,ACTIVE,
Walgreens Store #15654,2550 E 88TH AVE,,Anchorage,Anchorage,AK,99507,00006-5055-06,Lagevrio (molnupiravir),139.0,POINT (-149.83525 61.14064),1316366032.0,2022-04-13T00:00:00.000,ACTIVE,
Walmart Pharmacy #2070,3101 A ST,,Anchorage,Anchorage,AK,99503,00006-5055-06,Lagevrio (molnupiravir),24.0,POINT (-149.88283 61.19273),1245257559.0,2022-04-13T00:00:00.000,ACTIVE,
Walmart Pharmacy #2071,8900 Old Seward Hwy,,Anchorage,Anchorage,AK,99515,00006-5055-06,Lagevrio (molnupiravir),48.0,POINT (-149.86895 61.1403),1427075738.0,2022-04-13T00:00:00.000,ACTIVE,
Walmart Pharmacy #4359,7405 DeBarr Rd,,Anchorage,Anchorage,AK,99504,00006-5055-06,Lagevrio (molnupiravir),24.0,POINT (-149.74337 61.2099),1427497767.0,2022-04-13T00:00:00.000,ACTIVE,
CARRS PHARMACY,11431 BUSINESS BLVD,,Eagle River,Anchorage,AK,99577,00006-5055-06,Lagevrio (molnupiravir),39.0,POINT (-149.57437 61.32458),1922037969.0,2022-04-13T00:00:00.000,ACTIVE,
FRED MEYER PHARMACY 70100668,13401 OLD GLENN HWY,,Eagle River,Anchorage,AK,99577,00006-5055-06,Lagevrio (molnupiravir),70.0,POINT (-149.55631 61.34093),1013952548.0,2022-04-13T00:00:00.000,ACTIVE,
Walmart Pharmacy #2188,18600 Eagle River Rd,,Eagle River,Anchorage,AK,99577,00006-5055-06,Lagevrio (molnupiravir),48.0,POINT (-149.53521 61.31037),1972520286.0,2022-04-13T00:00:00.000,ACTIVE,
Girdwood Drug DBA Alpine Apothecary,158 Holmgren Place,STE 103,Girdwood,Anchorage,AK,99587,00006-5055-06,Lagevrio (molnupiravir),40.0,POINT (-149.13572 60.96335),1710480009.0,2022-04-12T00:00:00.000,ACTIVE,
CAMAI Comm Hlth CTR INC,2 School Road,,Naknek,Bristol Bay,AK,99633,00006-5055-06,Lagevrio (molnupiravir),18.0,POINT (-157.007658 58.734786),,2022-04-11T00:00:00.000,ACTIVE,
ALCAN MEDICAL GROUP,751 OLDRICHARDSON HWY STE 101,,Fairbanks,Fairbanks North Star,AK,99701,00006-5055-06,Lagevrio (molnupiravir),39.0,POINT (-147.6797 64.81817),1134739485.0,2022-04-12T00:00:00.000,ACTIVE,
DENALI PHARMACY,1650 COWLES ST,,Fairbanks,Fairbanks North Star,AK,99701,00006-5055-06,Lagevrio (molnupiravir),19.0,POINT (-147.738535 64.83144),1306952247.0,2022-04-12T00:00:00.000,ACTIVE,
FRED MEYER PHARMACY 70100224,930 OLD STEESE HWY,STE A,Fairbanks,Fairbanks North Star,AK,99701,00006-5055-06,Lagevrio (molnupiravir),72.0,POINT (-147.69051 64.85442),1487699914.0,2022-04-13T00:00:00.000,ACTIVE,
FRED MEYER PHARMACY 70100485,3755 AIRPORT WAY,,Fairbanks,Fairbanks North Star,AK,99709,00006-5055-06,Lagevrio (molnupiravir),47.0,POINT (-147.81862 64.83573),1508802059.0,2022-04-13T00:00:00.000,ACTIVE,
SAFEWAY PHARMACY,30 College Rd,,Fairbanks,Fairbanks North Star,AK,99701,00006-5055-06,Lagevrio (molnupiravir),59.0,POINT (-147.70133 64.85152),1003845041.0,2022-04-13T00:00:00.000,ACTIVE,
STEESE IMMEDIATE CARE,1275 sadler way,suite 101,Fairbanks,Fairbanks North Star,AK,99701,00006-5055-06,Lagevrio (molnupiravir),62.0,POINT (-147.68062 64.854735),1285922104.0,2022-04-12T00:00:00.000,ACTIVE,
Walgreens Store #15944,530 OLD STEESE HWY,,Fairbanks,Fairbanks North Star,AK,99701,00006-5055-06,Lagevrio (molnupiravir),39.0,POINT (-147.605733 64.963469),1841688314.0,2022-04-13T00:00:00.000,ACTIVE,
Walmart Pharmacy #2722,537 Johansen Expy,,Fairbanks,Fairbanks North Star,AK,99701,00006-5055-06,Lagevrio (molnupiravir),24.0,POINT (-147.6895 64.85646),1447277652.0,2022-04-13T00:00:00.000,ACTIVE,
SAFEWAY PHARMACY,301 N Santa Claus LN,,North Pole,Fairbanks North Star,AK,99705,00006-5055-06,Lagevrio (molnupiravir),19.0,POINT (-147.35542 64.7577),1194754135.0,2022-04-13T00:00:00.000,ACTIVE,
BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,Pharmacy,Juneau,Juneau,AK,99801,00006-5055-06,Lagevrio (molnupiravir),40.0,POINT (-134.47033 58.33024),1891849261.0,2022-04-13T00:00:00.000,ACTIVE,
FRED MEYER PHARMACY 70100158,8181 GLACIER HWY,STE 100,Juneau,Juneau,AK,99801,00006-5055-06,Lagevrio (molnupiravir),69.0,POINT (-134.56141 58.35938),1457374613.0,2022-04-13T00:00:00.000,ACTIVE,
"Genoa Healthcare, LLC  Site 20242",1944 Allen Court,Suite P1,Juneau,Juneau,AK,99801,00006-5055-06,Lagevrio (molnupiravir),24.0,POINT (-134.48987 58.35502),1629535109.0,2022-04-14T00:00:00.000,ACTIVE,
SAFEWAY PHARMACY,3033 Vintage Blvd.,,Juneau,Juneau,AK,99801,00006-5055-06,Lagevrio (molnupiravir),52.0,POINT (-134.59526 58.37109),1386673325.0,2022-04-13T00:00:00.000,ACTIVE,
SAFEWAY PHARMACY,90 STERLING HIGHWAY,,Homer,Kenai Peninsula,AK,99603,00006-5055-06,Lagevrio (molnupiravir),26.0,POINT (-151.533955 59.643195),1912936956.0,2022-04-13T00:00:00.000,ACTIVE,
