State Date       Time   Providers Details
AL    2022-02-22 09-09  -76       ['AL,Alabaster,35007,Integracare Pharmacy', 'AL,Alabaster,35007,Southern Wellness Llc', 'AL,Albertville,35950,Brindleys Family Pharmacy', 'AL,Albertville,35950,Rapid Care Inc Albertville', 'AL,Alexander City,35010,Russell Medical Center', 'AL,Andalusia,36420,Andalusia Regional Hospital', 'AL,Anniston,36207,Stringfellow Memorial Hospital', 'AL,Ashland,36251,Clay County Hospital And Nursing Ho', 'AL,Athens,35611,Athens Limestone Hospital', 'AL,Atmore,36502,Atmore Community Hospital', 'AL,Baileyton,35019,Baileyton Family Medicine', 'AL,Birmingham,35205,Ascension St Vincents Birmingham', 'AL,Birmingham,35209,Medhelp Pc', 'AL,Birmingham,35235,Ascension St Vincents East', 'AL,Birmingham,35242,Medhelp 280', 'AL,Birmingham,35243,Continuumrx Of Central Alabama', 'AL,Brewton,36426,D W Mcmillan Mem Hosp', 'AL,Butler,36904,Choctaw General Hospital', 'AL,Centre,35960,Cherokee Medical Center', 'AL,Centreville,35042,Bibb Medical Center Pharmacy', 'AL,Chelsea,35043,Chelsea Urgent Care', 'AL,Clanton,35045,Ascension St Vincents Chilton', 'AL,Cullman,35058,Cullman Regional Med Center', 'AL,Decatur,35601,Decatur Morgan Hosp Parkway Campus', 'AL,Decatur,35601,Decatur Morgan Hospital Decatur C', 'AL,Demopolis,36732,Whitfield Regional Hospital', 'AL,Dothan,36301,Pulmonary Associates Pa', 'AL,Dothan,36305,Flowers Hospital', 'AL,Enterprise,36330,Medical Center Enterprise', 'AL,Eufaula,36027,Medical Center Barbour', 'AL,Fairhope,36532,Thomas Hospital', 'AL,Fayette,35555,Fayette Medical Center', 'AL,Florence,35630,Medplus Inc', 'AL,Florence,35630,North Alabama Medical Center', 'AL,Florence,35633,Hamilton Family Urgent Care', 'AL,Foley,36535,Immediate Care Foley', 'AL,Fort Payne,35968,Dekalb Regional Medical Center', 'AL,Gadsden,35901,Gadsden Rapid Care', 'AL,Geraldine,35974,Geraldine Clinic', 'AL,Guntersville,35976,Lakeside North Family Medicine', 'AL,Guntersville,35976,Marshall Medical Center North', 'AL,Haleyville,35565,Lakeland Community Hospital', 'AL,Hazel Green,35750,The Doctors Office/Laura Lee Taylor', 'AL,Hoover,35244,Amber Specialty Pharmacy Birmingham', 'AL,Huntsville,35801,Crestwood Medical Center', 'AL,Huntsville,35801,Trinity Medical Center', 'AL,Huntsville,35802,Synergy Wellness', 'AL,Luverne,36049,Crenshaw Community Hospital', 'AL,Madison,35758,Flexcare Infusion Centers', 'AL,Madison,35758,Quickcare', 'AL,Mobile,36606,Midtown Pharmacy', 'AL,Mobile,36607,Mobile Infirmary Medical Center', 'AL,Mobile,36608,Gacek Ear And Sinus Center', 'AL,Mobile,36608,Providence Hospital', 'AL,Mobile,36609,Immediate Care Of The South', 'AL,Monroeville,36460,Primary Care Center Of Monroeville', 'AL,Montgomery,36116,Baptist Med Ctr South', 'AL,Muscle Shoals,35661,Shoals Hospital', 'AL,Oneonta,35121,Primary Care Servicesblount Llc', 'AL,Opelika,36801,East Alabama Medical Center', 'AL,Pelham,35124,Eminence Clinic Urgent Care', 'AL,Pell City,35125,Ascension St Vincents St Clair', 'AL,Phenix City,36867,Jack Hughston Memorial Hospital', 'AL,Scottsboro,35768,Highlands Medical Center', 'AL,Scottsboro,35769,Family First Medicine Llc', 'AL,Selma,36701,Vaughan Regional Medical Center', 'AL,Sheffield,35660,Helen Keller Hospital', 'AL,Sylacauga,35150,Coosa Valley Medical Center', 'AL,Tallassee,36078,Community Hosp Inc Tallassee', 'AL,Thomasville,36784,Thomasville Regional Medical Center', 'AL,Troy,36081,Troy Regional Medical Center', 'AL,Trussville,35173,Wellness Medical Center', 'AL,Valley,36854,Eamc Lanier', 'AL,Vestavia Hills,35243,Flexcare Infusion Center', 'AL,Wedowee,36278,Tanner Medical Center East Alabama', 'AL,Winfield,35594,Northwest Regional Health']
AL    2022-03-03 10-04  +2        ['AL,Cullman,35058,Express Meds (Tpb Llc Dba Express M', 'AL,Madison,35758,Padgett Medical Care']
AL    2022-03-08 14-40  +6        ['AL,Baileyton,35019,Baileyton Family Medicine', 'AL,Boaz,35957,Marshall Medical Center South', 'AL,Dadeville,36853,Lake Martin Community Hospital', 'AL,Gardendale,35071,Gardendale Primary Care', 'AL,Huntsville,35802,Synergy Wellness', 'AL,Mobile,36617,Usa Health University Hospital']
AL    2022-03-16 18-51  -65       ['AL,Alabaster,35007,Integracare Pharmacy', 'AL,Albertville,35950,Brindleys Family Pharmacy', 'AL,Albertville,35950,Rapid Care Inc Albertville', 'AL,Anniston,36207,Stringfellow Memorial Hospital', 'AL,Ashland,36251,Clay County Hospital And Nursing Ho', 'AL,Athens,35611,Athens Limestone Hospital', 'AL,Atmore,36502,Atmore Community Hospital', 'AL,Attalla,35954,Southern Immediate Care', 'AL,Birmingham,35205,Ascension St Vincents Birmingham', 'AL,Birmingham,35209,Medhelp Pc', 'AL,Birmingham,35242,Medhelp 280', 'AL,Birmingham,35243,Continuumrx Of Central Alabama', 'AL,Birmingham,35243,Grandview Medical Center', 'AL,Boaz,35957,Marshall Medical Center South', 'AL,Brewton,36426,D W Mcmillan Mem Hosp', 'AL,Butler,36904,Choctaw General Hospital', 'AL,Clanton,35045,Ascension St Vincents Chilton', 'AL,Dadeville,36853,Lake Martin Community Hospital', 'AL,Decatur,35601,Decatur Morgan Hosp Parkway Campus', 'AL,Decatur,35601,Decatur Morgan Hospital Decatur C', 'AL,Decatur,35603,Whitfield Family Practice Llc', 'AL,Dothan,36301,Circle Pharmacy', 'AL,Enterprise,36330,Medical Center Enterprise', 'AL,Eufaula,36027,Medical Center Barbour', 'AL,Fayette,35555,Fayette Medical Center', 'AL,Florence,35630,Medplus Inc', 'AL,Foley,36535,Immediate Care Foley', 'AL,Fort Payne,35968,Dekalb Regional Medical Center', 'AL,Fultondale,35068,Norwood Clinic Plaza Internal Medic', 'AL,Gadsden,35901,Gadsden Rapid Care', 'AL,Gardendale,35071,Gardendale Primary Care', 'AL,Geraldine,35974,Geraldine Clinic', 'AL,Greenville,36037,Regional Medical Center Of Central', 'AL,Guntersville,35976,Marshall Medical Center North', 'AL,Hamilton,35570,North Mississippi Medical Centerha', 'AL,Hazel Green,35750,The Doctors Office/Laura Lee Taylor', 'AL,Madison,35758,Flexcare Infusion Centers', 'AL,Madison,35758,Padgett Medical Care', 'AL,Mobile,36607,Mobile Infirmary Medical Center', 'AL,Mobile,36608,Alabama Medical Group', 'AL,Mobile,36609,Immediate Care Of The South', 'AL,Mobile,36617,Usa Health University Hospital', 'AL,Monroeville,36460,Monroe County Hospital', 'AL,Montgomery,36116,Baptist Med Ctr South', 'AL,Muscle Shoals,35661,Shoals Hospital', 'AL,Northport,35475,Allegra Family Clinic', 'AL,Oneonta,35121,Ascension St Vincents Blount', 'AL,Oneonta,35121,Primary Care Servicesblount Llc', 'AL,Opelika,36801,East Alabama Medical Center', 'AL,Pelham,35124,Eminence Clinic Urgent Care', 'AL,Pelham,35124,Medhelp Shelby', 'AL,Pell City,35125,Ascension St Vincents St Clair', 'AL,Phenix City,36867,Jack Hughston Memorial Hospital', 'AL,Scottsboro,35768,Highlands Medical Center', 'AL,Scottsboro,35769,Family First Medicine Llc', 'AL,Section,35771,Section Pharmacy', 'AL,Selma,36701,Vaughan Regional Medical Center', 'AL,Sheffield,35660,Helen Keller Hospital', 'AL,Tallassee,36078,Community Hosp Inc Tallassee', 'AL,Thomasville,36784,Thomasville Regional Medical Center', 'AL,Troy,36081,Troy Regional Medical Center', 'AL,Trussville,35173,Wellness Medical Center', 'AL,Valley,36854,Eamc Lanier', 'AL,Wedowee,36278,Tanner Medical Center East Alabama', 'AL,Winfield,35594,Northwest Regional Health']
AL    2022-03-18 09-58  +7        ['AL,Fairhope,,Thomas Hospital', 'AL,Florence,35630,Medplus Inc', 'AL,Guntersville,,Lakeside North Family Medicine', 'AL,Huntsville,,Crestwood Medical Center', 'AL,Mobile,,Providence Hospital', 'AL,Monroeville,,Primary Care Center Of Monroeville', 'AL,Sylacauga,,Coosa Valley Medical Center']
AL    2022-03-18 09-58  -9        ['AL,Demopolis,36732,Whitfield Regional Hospital', 'AL,Fairhope,36532,Thomas Hospital', 'AL,Florence,35630,North Alabama Medical Center', 'AL,Guntersville,35976,Lakeside North Family Medicine', 'AL,Haleyville,35565,Lakeland Community Hospital', 'AL,Huntsville,35801,Crestwood Medical Center', 'AL,Mobile,36608,Providence Hospital', 'AL,Monroeville,36460,Primary Care Center Of Monroeville', 'AL,Sylacauga,35150,Coosa Valley Medical Center']
AL    2022-03-18 11-17  +16       ['AL,Athens,35611,Athens Limestone Hospital', 'AL,Evergreen,36401,Evergreen Medical Center', 'AL,Fairhope,36532,Thomas Hospital', 'AL,Florence,35630,North Alabama Medical Center', 'AL,Geraldine,35974,Geraldine Clinic', 'AL,Guntersville,35976,Lakeside North Family Medicine', 'AL,Haleyville,35565,Lakeland Community Hospital', 'AL,Huntsville,35801,Crestwood Medical Center', 'AL,Jasper,35503,Smith Lake Family Care, Llc', 'AL,Madison,35758,Flexcare Infusion Centers', 'AL,Mobile,36608,Providence Hospital', 'AL,Monroeville,36460,Primary Care Center Of Monroeville', 'AL,Opelika,36801,East Alabama Medical Center', 'AL,Scottsboro,35768,Highlands Medical Center', 'AL,Sylacauga,35150,Coosa Valley Medical Center', 'AL,Warrior,35180,Primary And Urgent Care South']
AL    2022-03-18 11-17  -7        ['AL,Anniston,36207,Northeast Alabama Regional Medical', 'AL,Fairhope,,Thomas Hospital', 'AL,Guntersville,,Lakeside North Family Medicine', 'AL,Huntsville,,Crestwood Medical Center', 'AL,Mobile,,Providence Hospital', 'AL,Monroeville,,Primary Care Center Of Monroeville', 'AL,Sylacauga,,Coosa Valley Medical Center']
AL    2022-03-19 11-58  -1        ['AL,Sylacauga,35150,Coosa Valley Medical Center']
AL    2022-03-23 08-41  +2        ['AL,Ashland,36251,Clay County Hospital And Nursing Ho', 'AL,Demopolis,36732,Whitfield Regional Hospital']
