State Date       Time   Providers Details
AL    2022-03-30 09-48  -2        ['AL,Birmingham,35211,Cahaba Med Care - West End Office', 'AL,Birmingham,35212,Christ Health Center']
AL    2022-03-31 08-52  +2        ['AL,Huntsville,35801,Huntsville Hospital Fever And Flu', 'AL,Reform,35481,Pickens County Primary Care Pc']
AL    2022-04-13 06-01  +1        ['AL,Mobile,36695,Carbon Health-Mobile']
AL    2022-04-14 06-54  +1        ['AL,Birmingham,35203,Metro Hlth Ctr']
AL    2022-04-21 05-29  +2        ['AL,Gadsden,35903,Quality Of Life Health Complex', 'AL,Mobile,36603,Franklin Medical Mall']
AL    2022-05-14 08-48  -1        ['AL,Birmingham,35212,Christ Health Center']
AL    2022-05-15 05-53  -3        ['AL,Fort Rucker,36362,Lyster Army Health Clinic', 'AL,Huntsville,35898,Fox Army Health Clinic', 'AL,Maxwell Afb,36112,42Nd Mdss']
AL    2022-05-25 05-39  +1        ['AL,Birmingham,35212,Christ Health Center']
AL    2022-06-08 05-41  -2        ['AL,Birmingham,35211,Cahaba Med Care - West End Office', 'AL,Birmingham,35212,Christ Health Center']
AL    2022-06-14 04-15  -1        ['AL,Birmingham,35203,Metro Hlth Ctr']
AL    2022-06-15 04-15  +1        ['AL,Huntsville,35802,Synergy Wellness']
AL    2022-06-16 04-15  +1        ['AL,Birmingham,35211,Cahaba Med Care - West End Office']
AL    2022-06-21 04-15  +1        ['AL,Birmingham,35203,Metro Hlth Ctr']
AL    2022-06-24 04-15  +1        ['AL,Huntsville,35816,Synergy Wellness']
AK    2022-03-30 09-48  -4        ['AK,Kodiak,99615,Kodiak Community Health Center', 'AK,Naknek,99633,Camai Comm Hlth Ctr Inc', 'AK,Nome,99762,Norton Sound Hlth Corp Fam Med Clin', 'AK,Sitka,99835,Southeast Alaska Regional Health Co']
AK    2022-04-02 15-49  -1        ['AK,Nome,99762,Norton Sound Hlth Corp Fam Med Clin']
AK    2022-04-05 05-48  -1        ['AK,Sitka,99835,Southeast Alaska Regional Health Co']
AK    2022-04-07 05-34  +1        ['AK,Sitka,99835,Southeast Alaska Regional Health Co']
AK    2022-04-07 05-34  -1        ['AK,Naknek,99633,Camai Comm Hlth Ctr Inc']
AK    2022-04-09 05-41  -1        ['AK,Eielson Afb,99702,354 Mdg']
AK    2022-04-12 07-07  +1        ['AK,Naknek,99633,Camai Comm Hlth Ctr Inc']
AK    2022-04-28 05-15  +1        ['AK,Jber,99506,673 Mdss/Sgsm']
AK    2022-05-12 09-49  -1        ['AK,Jber,99506,673 Mdss/Sgsm']
AK    2022-05-16 05-54  -1        ['AK,Kodiak,99615,Kodiak Community Health Center']
AK    2022-05-25 05-39  +1        ['AK,Jber,99506,673 Mdss/Sgsm']
AK    2022-06-01 05-37  +1        ['AK,Kodiak,99615,Kodiak Community Health Center']
AK    2022-07-03 14-40  +1        ['AK,Homer,99603,South Peninsula Hospital Inc']
AK    2022-07-08 04-15  +1        ['AK,Soldotna,99669,Soldotna Professional Pharmacy']
AS    2022-04-06 05-45  +2        ['AS,Pago Pago,96799,Amouli Community Health Center', 'AS,Pago Pago,96799,Tafuna Community Health Center']
AS    2022-05-07 05-45  -1        ['AS,Pago Pago,96799,American Samoa Dept Of Health']
AS    2022-05-20 05-59  -1        ['AS,Pago Pago,96799,Tafuna Community Health Center']
AS    2022-06-02 07-53  +1        ['AS,Pago Pago,96799,Tafuna Community Health Center']
AS    2022-06-08 05-41  +2        ['AS,Pago Pago,96799,American Samoa Dept Of Health', 'AS,Pago Pago,96799,Ofu Community Health Center']
AS    2022-06-09 04-15  -1        ['AS,Pago Pago,96799,Amouli Community Health Center']
AS    2022-06-22 04-15  -1        ['AS,Pago Pago,96799,Ofu Community Health Center']
AS    2022-07-06 04-15  -1        ['AS,Pago Pago,96799,American Samoa Dept Of Health']
AZ    2022-03-30 09-48  -74       ['AZ,Apache Junction,85120,Walgreens Store #06333', 'AZ,Avondale,85392,Frys Pharmacy 66000112', 'AZ,Avondale,85392,Walgreens Store #03387', 'AZ,Buckeye,85326,Frys Pharmacy 66000675', 'AZ,Cave Creek,85331,Cvs Store #07852', 'AZ,Cave Creek,85331,Walgreens Store #03912', 'AZ,Chandler,85226,Cvs Store #03965', 'AZ,Chandler,85248,Cvs Store #05038', 'AZ,Chandler,85249,Cvs Store #07075', 'AZ,Gilbert,85233,Walgreens Store #06062', 'AZ,Gilbert,85295,Cvs Store #05891', 'AZ,Gilbert,85296,Cvs Store #03268', 'AZ,Glendale,85306,Walgreens Store #03385', 'AZ,Glendale,85308,Cvs Store #00017', 'AZ,Glendale,85308,Frys Pharmacy 66000625', 'AZ,Goodyear,85395,Cvs Store #03749', 'AZ,Laveen,85339,Cvs Store #05892', 'AZ,Litchfield Park,85340,Frys Pharmacy 66000667', 'AZ,Litchfield Park,85340,Walgreens Store #07582', 'AZ,Mesa,85203,Frys Pharmacy 66000622', 'AZ,Mesa,85205,Cvs Store #04795', 'AZ,Mesa,85206,Cvs Store #05026', 'AZ,Mesa,85207,Walgreens Store #06582', 'AZ,Mesa,85212,Cvs Store #05814', 'AZ,Mesa,85215,Walgreens Store #06026', 'AZ,Nogales,85621,Mchc Main Clinical Site', 'AZ,Oro Valley,85737,Cvs Store #10006', 'AZ,Peoria,85345,Frys Pharmacy 66000056', 'AZ,Peoria,85381,Cvs Store #00069', 'AZ,Peoria,85381,Walgreens Store #03427', 'AZ,Peoria,85382,Walgreens Store #05353', 'AZ,Peoria,85383,Walgreens Store #10241', 'AZ,Phoenix,85016,Cvs Store #08366', 'AZ,Phoenix,85016,Walgreens Store #03769', 'AZ,Phoenix,85018,Cvs Store #09202', 'AZ,Phoenix,85019,Cvs Store #11478', 'AZ,Phoenix,85021,Walgreens Store #06400', 'AZ,Phoenix,85022,Frys Pharmacy 66000698', 'AZ,Phoenix,85023,Cvs Store #07116', 'AZ,Phoenix,85023,Walgreens Store #09057', 'AZ,Phoenix,85032,Walgreens Store #12739', 'AZ,Phoenix,85035,Walgreens Store #06021', 'AZ,Phoenix,85037,Cvs Store #07263', 'AZ,Phoenix,85037,Walgreens Store #05668', 'AZ,Phoenix,85042,Mountain Park Hc - Baseline', 'AZ,Phoenix,85044,Cvs Store #09290', 'AZ,Phoenix,85050,Cvs Store #03264', 'AZ,Phoenix,85085,Cvs Store #10150', 'AZ,Prescott Valley,86314,Frys Pharmacy 66000063', 'AZ,Queen Creek,85142,Cvs Store #01720', 'AZ,San Tan Valley,85140,Frys Pharmacy 66000682', 'AZ,Scottsdale,85250,Walgreens Store #09262', 'AZ,Scottsdale,85254,Cvs Store #09210', 'AZ,Scottsdale,85254,Cvs Store #10529', 'AZ,Scottsdale,85259,Walgreens Store #05890', 'AZ,Scottsdale,85260,Cvs Store #09252', 'AZ,Sierra Vista,85635,Chiricahua Chcsierra Vista Peds', 'AZ,Sun City West,85375,Walgreens Store #06128', 'AZ,Surprise,85374,Cvs Store #05477', 'AZ,Surprise,85379,Walgreens Store #12087', 'AZ,Tempe,85281,Cvs Store #10928', 'AZ,Tempe,85282,Cvs Store #00033', 'AZ,Tempe,85282,Frys Pharmacy 66000124', 'AZ,Tempe,85284,Frys Pharmacy 66000627', 'AZ,Tempe,85284,Walgreens Store #04376', 'AZ,Tucson,85705,Cvs Store #07841', 'AZ,Tucson,85716,Cvs Store #07876', 'AZ,Tucson,85730,Cvs Store #07855', 'AZ,Tucson,85741,Cvs Store #09273', 'AZ,Tucson,85745,El Rio Santa Cruz Neighborhood', 'AZ,Tucson,85746,Cvs Store #09374', 'AZ,Tucson,85749,Cvs Store #09302', 'AZ,Tucson,85750,Cvs Store #09277', 'AZ,Yuma,85364,Sunset Chc Inc Yuma Site']
AZ    2022-03-31 08-52  +9        ['AZ,Fort Defiance,86504,Fort Defiance Indian Hospital', 'AZ,Kayenta,86033,Kayenta Health Center', 'AZ,Phoenix,85053,Frys Pharmacy 66000617', 'AZ,Pinon,86510,Pinon Health Center', 'AZ,Red Mesa,86514,Four Corners Regional Health Center', 'AZ,Tonalea,86044,Inscription House Health Center', 'AZ,Tsaile,86556,Tsaile Health Center', 'AZ,Tuba City,86045,Tuba City Reg Health Care Center', 'AZ,Winslow,86047,Winslow Indian Health Care Center']
AZ    2022-04-05 05-48  +1        ['AZ,Oro Valley,85737,Walgreens Store #04103']
AZ    2022-04-06 05-45  -1        ['AZ,Oro Valley,85737,Walgreens Store #04103']
AZ    2022-04-13 06-01  -1        ['AZ,Red Mesa,86514,Four Corners Regional Health Center']
AZ    2022-04-14 06-54  +2        ['AZ,Oro Valley,85737,Walgreens Store #04103', 'AZ,Tucson,85710,Walgreens Store #09953']
AZ    2022-04-14 06-54  -1        ['AZ,Kayenta,86033,Kayenta Health Center']
AZ    2022-04-16 05-34  +1        ['AZ,Kayenta,86033,Kayenta Health Center']
AZ    2022-04-21 05-29  +1        ['AZ,Ajo,85321,Desert Senita Comm Hlth Ctr']
AZ    2022-04-27 05-23  -1        ['AZ,Peridot,85542,San Carlos Healthcare Corporation']
