2022-02-18T16-04-21,53188,WAUKESHA MEMORIAL HOSPITAL,02/14/2022 12:00:00 AM,02/16/2022 12:00:00 AM,30,,
2022-03-03T09-56-49,53188,WAUKESHA MEMORIAL HOSPITAL,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,48,,
2022-03-03T10-04-44,53188,WAUKESHA MEMORIAL HOSPITAL,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,48,,
2022-03-08T14-40-56,53188,WAUKESHA MEMORIAL HOSPITAL,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,48,,
2022-03-16T18-51-35,53188,PROHEALTH WAUKESHA MEMORIAL HOSPITAL,NLP,NLP,NLP,86,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,53188,PROHEALTH WAUKESHA MEMORIAL HOSPITAL,NLP,NLP,NLP,86,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,53188,PROHEALTH WAUKESHA MEMORIAL HOSPITAL,NLP,NLP,NLP,86,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,53188,PROHEALTH WAUKESHA MEMORIAL HOSPITAL,NLP,NLP,NLP,82,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,53188,PROHEALTH WAUKESHA MEMORIAL HOSPITAL,NLP,NLP,NLP,82,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,53188,PROHEALTH WAUKESHA MEMORIAL HOSPITAL,NLP,NLP,NLP,82,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,53188,PROHEALTH WAUKESHA MEMORIAL HOSPITAL,NLP,NLP,NLP,82,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,53188,PROHEALTH WAUKESHA MEMORIAL HOSPITAL,NLP,NLP,NLP,82,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,53188,PROHEALTH WAUKESHA MEMORIAL HOSPITAL,NLP,NLP,NLP,82,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,53188,PROHEALTH WAUKESHA MEMORIAL HOSPITAL,NLP,NLP,NLP,82,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,53188,PROHEALTH WAUKESHA MEMORIAL HOSPITAL,NLP,NLP,NLP,82,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,53188,PROHEALTH WAUKESHA MEMORIAL HOSPITAL,NLP,NLP,NLP,82,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,53188,PROHEALTH WAUKESHA MEMORIAL HOSPITAL,NLP,NLP,NLP,82,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,53188,PROHEALTH WAUKESHA MEMORIAL HOSPITAL,NLP,NLP,NLP,82,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,53188,PROHEALTH WAUKESHA MEMORIAL HOSPITAL,NLP,NLP,NLP,77,03/23/2022 12:00:00 AM
