2022-02-18T16-04-21,46845,PARKVIEW REGIONAL MEDICAL CENTER,02/16/2022 12:00:00 AM,,102,,
2022-03-03T09-56-49,46845,PARKVIEW REGIONAL MEDICAL CENTER,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,162,,
2022-03-03T10-04-44,46845,PARKVIEW REGIONAL MEDICAL CENTER,03/01/2022 12:00:00 AM,02/25/2022 12:00:00 AM,186,,
2022-03-08T14-40-56,46845,PARKVIEW REGIONAL MEDICAL CENTER,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,186,,
2022-03-16T18-51-35,46845,PARKVIEW REGIONAL MEDICAL CENTER,NLP,NLP,NLP,30,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,46845,PARKVIEW REGIONAL MEDICAL CENTER,NLP,NLP,NLP,30,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,46845,PARKVIEW REGIONAL MEDICAL CENTER,NLP,NLP,NLP,30,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,46845,PARKVIEW REGIONAL MEDICAL CENTER,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,46845,PARKVIEW REGIONAL MEDICAL CENTER,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,46845,PARKVIEW REGIONAL MEDICAL CENTER,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,46845,PARKVIEW REGIONAL MEDICAL CENTER,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,46845,PARKVIEW REGIONAL MEDICAL CENTER,NLP,NLP,NLP,51,03/16/2022 12:00:00 AM
