2022-02-18T16-04-21,27401,Moses Cone Memorial Hospital,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,72,,
2022-03-03T09-56-49,27401,Moses Cone Memorial Hospital,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,132,,
2022-03-03T10-04-44,27401,Moses Cone Memorial Hospital,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,132,,
2022-03-08T14-40-56,27401,Moses Cone Memorial Hospital,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,192,,
2022-03-16T18-51-35,27401,THE MOSES H CONE MEMORIAL HOSPITAL,NLP,NLP,NLP,161,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,27401,THE MOSES H CONE MEMORIAL HOSPITAL,NLP,NLP,NLP,161,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,27401,THE MOSES H CONE MEMORIAL HOSPITAL,NLP,NLP,NLP,161,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,27401,THE MOSES H CONE MEMORIAL HOSPITAL,NLP,NLP,NLP,141,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,27401,THE MOSES H CONE MEMORIAL HOSPITAL,NLP,NLP,NLP,141,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,27401,THE MOSES H CONE MEMORIAL HOSPITAL,NLP,NLP,NLP,141,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,27401,THE MOSES H CONE MEMORIAL HOSPITAL,NLP,NLP,NLP,141,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,27401,THE MOSES H CONE MEMORIAL HOSPITAL,NLP,NLP,NLP,141,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,27401,THE MOSES H CONE MEMORIAL HOSPITAL,NLP,NLP,NLP,141,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,27401,THE MOSES H CONE MEMORIAL HOSPITAL,NLP,NLP,NLP,141,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,27401,THE MOSES H CONE MEMORIAL HOSPITAL,NLP,NLP,NLP,141,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,27401,THE MOSES H CONE MEMORIAL HOSPITAL,NLP,NLP,NLP,141,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,27401,THE MOSES H CONE MEMORIAL HOSPITAL,NLP,NLP,NLP,141,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,27401,THE MOSES H CONE MEMORIAL HOSPITAL,NLP,NLP,NLP,141,03/16/2022 12:00:00 AM
2022-03-25T08-10-53,27401,THE MOSES H CONE MEMORIAL HOSPITAL,NLP,NLP,NLP,129,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,27401,THE MOSES H CONE MEMORIAL HOSPITAL,NLP,NLP,NLP,129,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,27401,THE MOSES H CONE MEMORIAL HOSPITAL,NLP,NLP,NLP,129,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,27401,THE MOSES H CONE MEMORIAL HOSPITAL,NLP,NLP,NLP,129,03/23/2022 12:00:00 AM
